RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
52.034786,2700.5583,0.16822633147239685,5.8640647,4.984639,1.5199904,7.576604,18.475155,24609.766,21161.432,20573.234,890.625,773.4375,796.875,1
51.717976,2671.3164,0.13376694917678833,5.945649,5.015174,1.5154983,7.600487,18.315363,24873.965,20477.229,20198.695,890.625,914.0625,773.4375,1
47.572342,2249.7402,0.2810799777507782,7.3966203,5.4522147,1.5384533,8.387979,20.00605,22150.883,20991.52,19877.361,890.625,867.1875,773.4375,1
44.130085,1948.1047,0.1037486270070076,4.6722655,3.5222335,1.4757891,5.198074,14.49929,32195.1,21352.32,16115.091,914.0625,890.625,937.5,1
44.140728,1949.2479,0.09560242295265198,4.6983714,3.5213842,1.5025214,5.290955,15.117903,32029.74,23653.572,15966.375,914.0625,890.625,843.75,1
44.788437,2006.9462,0.1022081971168518,4.4895864,3.4704597,1.472181,5.1091447,14.339263,31294.736,27574.39,18673.314,914.0625,890.625,843.75,1
54.655632,2987.4763,0.2776036262512207,5.110702,4.0313897,1.5508887,6.252237,16.765442,35144.38,25519.115,23215.281,914.0625,890.625,937.5,1
52.846153,2770.2659,0.10866788774728775,6.068766,4.169427,1.5781511,6.579985,18.908203,28187.662,28002.703,24117.234,867.1875,468.75,492.1875,1
53.37084,2814.0261,0.13312941789627075,5.9119143,4.1284375,1.5501239,6.3995895,18.226744,29777.73,24420.62,24148.05,867.1875,492.1875,468.75,1
52.630455,2727.826,0.14372526109218597,6.2440624,4.1865144,1.5898287,6.6558414,19.462606,24849.102,24327.508,24271.184,492.1875,867.1875,468.75,1
42.649055,1764.3992,-0.5810114741325378,5.5984216,2.8356802,1.5019082,4.258931,16.638958,16497.926,15244.078,14614.854,421.875,0.0,539.0625,1
39.449646,1528.9055,-0.28582650423049927,4.3669505,3.0820324,1.4663006,4.519186,13.843197,21832.463,16580.074,16400.836,820.3125,960.9375,492.1875,1
39.419422,1533.0177,-0.28247982263565063,4.324513,3.0843956,1.4656881,4.520762,13.888911,21154.254,20748.219,16609.354,820.3125,843.75,937.5,1
39.70089,1538.2148,-0.19098499417304993,4.270635,3.0625281,1.4635818,4.48226,13.871142,21300.28,20312.654,15562.284,843.75,820.3125,937.5,1
