RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
1804.2898,3257046.8,-0.1657300442457199,4.6521482,3.396351,1.4906634,5.062816,15.753797,424368.97,414538.66,401015.72,421.875,2109.375,2132.8125,2
1828.3624,3344494.2,0.19788172841072083,5.260087,4.389394,1.5153188,6.6513305,17.783371,514370.62,480602.22,450739.2,398.4375,1898.4375,375.0,2
1841.5653,3393019.8,0.2153441309928894,5.119048,4.3579245,1.5111446,6.5854545,17.672718,561156.2,536211.2,429660.06,375.0,398.4375,2250.0,2
1852.1445,3431922.2,0.19792693853378296,5.03971,4.3330326,1.5026538,6.5110483,17.446215,532587.7,464509.2,402733.7,398.4375,375.0,1898.4375,2
1843.1906,3398506.2,0.38366666436195374,6.0848713,5.3270583,1.5392481,8.199664,20.881268,574707.56,480889.44,378199.53,398.4375,421.875,2250.0,2
1842.6182,3396739.5,0.10210727155208588,6.08348,5.328713,1.536695,8.188606,21.752562,636368.25,547093.7,370812.5,398.4375,375.0,1335.9375,2
1852.897,3434903.2,0.10721918940544128,5.990332,5.2991524,1.5357647,8.138251,21.64847,685622.56,613190.7,348222.8,375.0,398.4375,1335.9375,2
1868.722,3493828.2,0.11257608979940414,5.8352146,5.2542768,1.530093,8.039533,21.33748,624385.8,586948.06,395008.7,398.4375,375.0,609.375,2
2084.6104,4347012.5,-0.044718608260154724,6.9335155,4.261546,1.5718124,6.698351,23.002487,530083.6,511355.9,511264.9,421.875,1945.3125,1570.3125,2
2089.6907,4368898.0,0.1177549883723259,7.0632467,4.6390524,1.564354,7.25712,23.608446,678858.7,653345.2,522730.6,398.4375,375.0,1453.125,2
2071.1426,4291718.5,0.13110604882240295,7.274667,4.6805973,1.5723461,7.359519,23.888485,756054.25,730349.94,425092.16,375.0,398.4375,2765.625,2
2063.796,4261088.5,0.13711875677108765,7.356961,4.6972594,1.5767467,7.4063883,24.13641,773626.2,608287.3,453615.75,398.4375,375.0,1453.125,2
1983.6891,3935401.0,0.031502898782491684,6.525792,4.921099,1.557884,7.6665015,21.388996,582094.2,517221.97,505937.88,398.4375,421.875,2742.1875,2
2178.163,4746626.5,-0.04504233971238136,6.5650187,4.62022,1.5650301,7.2307835,22.126999,817319.2,636939.2,465845.44,398.4375,375.0,421.875,2
2179.3738,4751985.5,-0.06255519390106201,6.5524917,4.6176534,1.5607823,7.207152,22.020374,893346.9,742603.4,416498.8,398.4375,375.0,3609.375,2
2175.6096,4735375.5,-0.06765177845954895,6.589205,4.625643,1.5608354,7.2198668,22.048517,794864.7,671644.7,475141.94,398.4375,375.0,421.875,2
2181.5679,4759946.0,0.009093204513192177,6.3974366,4.6130095,1.548013,7.140998,21.70009,551177.0,433796.47,427781.66,421.875,351.5625,3585.9375,2
2141.4346,4587960.0,0.01976107247173786,6.0047746,4.481099,1.556493,6.9747996,20.788095,557990.9,501887.8,454485.75,398.4375,937.5,914.0625,2
2148.325,4617553.0,0.019668232649564743,5.9536023,4.466727,1.5537494,6.940174,20.690163,634180.94,573226.75,519099.8,398.4375,914.0625,375.0,2
2146.7808,4610711.5,0.024233119562268257,5.975117,4.4699397,1.5601441,6.97375,20.836027,589351.3,571340.7,550774.8,398.4375,914.0625,984.375,2
2208.7075,4880413.5,0.09867141395807266,5.9883604,4.3446136,1.5777636,6.8547726,19.324026,530665.25,513883.1,468221.4,1476.5625,1007.8125,421.875,2
2248.1533,5056592.0,0.04755318909883499,6.587879,4.3037643,1.5750047,6.7784495,22.632326,795996.8,605570.9,590521.25,398.4375,2343.75,375.0,2
2241.9072,5028585.5,0.06071890518069267,6.644999,4.315755,1.5860766,6.845118,23.086163,831176.75,687857.0,569110.7,398.4375,375.0,2320.3125,2
2238.3733,5012644.5,0.049346037209033966,6.671355,4.322569,1.5756934,6.8110433,22.69435,801544.06,577210.4,562167.56,398.4375,375.0,2320.3125,2
2274.1394,5174237.0,-0.11750572919845581,6.4898043,4.254586,1.5570683,6.624682,21.910267,576359.3,554170.44,552098.7,656.25,1359.375,421.875,2
2157.395,4656624.5,-0.11816858500242233,5.8928533,4.196035,1.546947,6.4910436,20.56469,711160.06,604752.7,588456.8,398.4375,375.0,1359.375,2
2151.8708,4632805.0,-0.1260625272989273,5.938206,4.2068067,1.5433,6.4923654,20.41603,742042.44,677695.8,556716.56,398.4375,375.0,1359.375,2
2144.1287,4599373.0,-0.10667692124843597,6.0167613,4.2219973,1.5632261,6.599936,21.11979,745535.75,579011.75,571998.56,398.4375,375.0,1359.375,2
1923.9678,3703259.0,0.19245997071266174,5.6032014,4.15524,1.5475366,6.430386,19.968397,521059.88,474591.4,419165.1,421.875,398.4375,351.5625,2
1811.1166,3281738.2,0.23220296204090118,5.3633533,4.57982,1.5236287,6.9779453,18.491982,657843.7,484209.06,394843.47,398.4375,375.0,2320.3125,2
