TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
70318,1171,314,6191,1819,1110,18
70318,1171,309,6181,1818,1110,18
79488,1173,264,6191,1819,1109,18
79488,1173,7200,6191,1819,1105,18
79488,1173,2099,6192,1819,1106,18
79488,1173,311,6191,1819,1107,18
70382,1171,264,6191,1819,1106,18
70382,1171,7201,6192,1818,1104,16
70382,1171,306,6191,1819,1108,18
70382,1171,310,6191,1820,1109,18
70371,1172,264,6182,1818,1110,18
70371,1172,7203,6191,1819,1107,18
70371,1172,311,6191,1819,1107,18
70371,1172,313,6169,1819,1107,19
70357,1172,264,6191,1819,1108,19
70357,1172,7208,6184,1819,1108,18
70357,1172,310,6170,1819,1109,18
70357,1172,313,6191,1819,1108,18
70319,1172,264,6191,1820,1107,18
70319,1172,7204,6191,1818,1108,18
70319,1172,2097,6188,1819,1106,17
70319,1172,306,6191,1819,1107,19
75973,1172,264,6191,1819,1107,17
75973,1172,7200,6173,1819,1109,18
75973,1172,310,6191,1819,1108,18
75973,1172,310,6191,1819,1108,18
77241,1172,264,6191,1819,1107,18
77241,1172,7206,6192,1819,1104,17
77241,1172,313,6191,1819,1106,17
77241,1172,312,6172,1819,1107,19
70393,1171,264,6191,1819,1107,19
70393,1171,7206,6191,1819,1109,18
70393,1171,310,6192,1818,1108,19
70393,1171,311,6191,1819,1107,18
70357,1171,263,6191,1819,1109,19
70357,1171,8992,6191,1819,1103,19
70357,1171,316,6170,1819,1107,19
70357,1171,306,6191,1819,1106,18
70333,1172,264,6184,1819,1109,18
70333,1172,7204,6171,1818,1110,18
70333,1172,312,6177,1819,1108,18
70333,1172,308,6172,1819,1109,19
70382,1172,264,6191,1819,1109,18
70382,1172,7208,6191,1819,1104,16
70382,1172,306,6191,1819,1109,18
70382,1172,310,6191,1820,1107,18
75823,1172,264,6192,1819,1109,19
75823,1172,7209,6191,1819,1105,19
75823,1172,313,6191,1819,1107,18
75823,1172,312,6191,1819,1106,19
79537,1172,265,6178,1819,1106,19
79537,1172,7204,6175,1819,1105,17
79537,1172,313,6182,1818,1107,19
79537,1172,313,6186,1819,1106,19
75772,1172,264,6181,1819,1108,18
75772,1172,7202,6191,1819,1105,18
75772,1172,314,6191,1820,1104,18
75772,1172,306,6189,1819,1106,19
77239,1172,265,6178,1819,1106,18
77239,1172,7222,6191,1819,1107,16
77239,1172,310,6192,1819,1109,18
77239,1172,309,6191,1819,1106,18
70407,1172,264,6190,1819,1110,18
70407,1172,7217,6191,1820,1104,17
70407,1172,312,6191,1819,1107,18
70407,1172,312,6192,1819,1106,19
79501,1172,264,6191,1819,1104,19
79501,1172,7202,6191,1819,1106,19
79501,1172,313,6182,1819,1109,18
79501,1172,309,6168,1820,1109,18
70344,1173,264,6191,1819,1107,18
70344,1173,7203,6191,1819,1105,18
70344,1173,313,6190,1819,1108,19
70344,1173,311,6191,1819,1108,19
70372,1172,264,6172,1820,1109,19
70372,1172,7204,6179,1819,1107,19
70372,1172,313,6191,1819,1110,18
70372,1172,309,6181,1818,1111,18
70381,1172,265,6191,1819,1108,18
70381,1172,7202,6175,1819,1105,18
70381,1172,311,6191,1818,1112,19
70381,1172,2101,6169,1819,1109,20
70355,1172,263,6191,1819,1108,17
70355,1172,7200,6174,1819,1108,18
70355,1172,311,6191,1820,1106,18
70355,1172,312,6191,1819,1107,19
70420,1172,264,6191,1820,1105,19
70420,1172,7209,6190,1819,1101,19
70420,1172,308,6185,1819,1105,19
70420,1172,311,6172,1818,1105,19
82695,1172,264,6191,1819,1105,18
82695,1172,7206,6191,1819,1107,18
82695,1172,311,6191,1819,1106,19
82695,1172,312,6191,1819,1108,19
70393,1172,264,6191,1818,1107,18
70393,1172,7207,6191,1819,1103,16
70393,1172,307,6191,1819,1109,18
70393,1172,2094,6192,1818,1106,19
70357,1172,265,6189,1820,1105,19
70357,1172,7204,6191,1819,1103,18
70357,1172,306,6192,1819,1107,18
70357,1172,312,6191,1819,1107,19
70357,1171,263,6191,1819,1107,18
70357,1171,7209,6191,1819,1104,19
70357,1171,314,6167,1819,1107,18
70357,1171,307,6191,1819,1109,19
70420,1172,264,6172,1819,1109,19
70420,1172,7206,6178,1819,1104,18
70420,1172,310,6191,1819,1106,18
70420,1172,313,6189,1819,1106,19
70343,1172,265,6191,1820,1105,17
70343,1172,7205,6191,1819,1105,17
70343,1172,2099,6173,1819,1108,18
70343,1172,312,6191,1819,1109,19
70355,1173,264,6191,1820,1109,18
70355,1173,7208,6191,1819,1106,18
70355,1173,312,6191,1820,1107,18
70355,1173,311,6191,1819,1108,18
70318,1172,264,6191,1819,1108,18
70318,1172,7203,6169,1819,1104,17
70318,1172,309,6191,1819,1108,17
70318,1172,310,6192,1818,1109,19
77228,1172,264,6191,1819,1108,18
77228,1172,7201,6191,1819,1106,19
77228,1172,313,6191,1819,1107,19
77228,1172,310,6191,1819,1105,19
75798,1172,264,6192,1819,1108,19
75798,1172,8995,6192,1819,1105,17
75798,1172,314,6191,1819,1109,18
75798,1172,310,6192,1818,1109,19
70408,1172,265,6191,1819,1107,18
70408,1172,7201,6191,1819,1105,19
70408,1172,314,6192,1819,1105,17
70408,1172,313,6177,1819,1105,20
70420,1172,263,6191,1819,1102,19
70420,1172,7203,6183,1818,1106,18
70420,1172,312,6167,1819,1107,19
70420,1172,309,6190,1819,1107,18
70395,1172,264,6192,1819,1107,18
70395,1172,7205,6191,1819,1105,18
70395,1172,314,6191,1819,1106,18
70395,1172,311,6191,1819,1107,19
70344,1173,264,6167,1819,1108,18
70344,1173,8987,6191,1819,1109,19
70344,1173,310,6192,1818,1105,17
70344,1173,312,6191,1819,1107,20
70305,1173,264,6191,1820,1107,18
70305,1173,7207,6191,1819,1102,17
70305,1173,308,6188,1819,1105,18
70305,1173,308,6191,1819,1106,19
70356,1172,264,6191,1820,1105,18
70356,1172,7202,6191,1819,1106,19
70356,1172,313,6191,1819,1105,18
70356,1172,312,6192,1818,1108,19
77228,1172,265,6191,1819,1107,18
77228,1172,7201,6186,1819,1104,17
77228,1172,310,6191,1819,1108,19
77228,1172,310,6191,1819,1107,18
84967,1172,264,6191,1818,1110,18
84967,1172,7207,6168,1819,1106,18
84967,1172,309,6184,1819,1106,18
84967,1172,310,6191,1819,1106,19
70419,1173,264,6191,1819,1106,18
70419,1173,7208,6191,1819,1103,19
70419,1173,316,6191,1819,1107,18
70419,1173,311,6185,1819,1106,19
70470,1171,263,6191,1819,1106,18
70470,1171,7216,6191,1819,1105,18
70470,1171,314,6175,1819,1108,18
70470,1171,310,6192,1819,1108,18
70345,1172,264,6191,1819,1110,18
70345,1172,7201,6191,1819,1103,19
70345,1172,315,6191,1819,1108,18
70345,1172,310,6191,1819,1108,18
79526,1171,264,6191,1819,1109,18
79526,1171,7207,6192,1818,1105,18
79526,1171,313,6191,1819,1107,18
79526,1171,311,6173,1819,1108,19
70355,1172,264,6172,1819,1108,18
70355,1172,7221,6188,1819,1105,19
70355,1172,308,6191,1819,1106,18
70355,1172,313,6179,1819,1107,18
70368,1173,264,6191,1819,1108,19
70368,1173,7205,6191,1820,1103,18
70368,1173,307,6170,1819,1105,17
70368,1173,308,6191,1819,1106,19
77217,1172,264,6185,1819,1106,17
77217,1172,7203,6192,1819,1108,18
77217,1172,310,6190,1819,1109,18
77217,1172,2095,6191,1820,1109,18
75672,1172,264,6192,1819,1107,18
75672,1172,7222,6191,1819,1107,18
75672,1172,312,6191,1819,1105,17
75672,1172,312,6168,1819,1107,19
79452,1172,264,6191,1819,1104,17
79452,1172,7208,6191,1819,1106,18
79452,1172,312,6188,1819,1107,19
79452,1172,307,6191,1819,1107,19
70333,1172,264,6172,1818,1107,19
70333,1172,7209,6191,1819,1106,18
70333,1172,313,6191,1820,1107,17
70333,1172,312,6190,1819,1105,19
70281,1172,265,6168,1819,1106,19
70281,1172,7204,6175,1819,1105,17
70281,1172,2096,6191,1819,1107,19
70281,1172,312,6191,1819,1109,18
218172,1172,265,6169,1819,1108,17
218172,1172,7206,6191,1819,1103,17
218172,1172,307,6192,1819,1108,18
218172,1172,309,6191,1819,1108,18
70267,1172,263,6186,1819,1108,19
70267,1172,7207,6191,1819,1107,19
70267,1172,312,6191,1819,1107,18
70267,1172,311,6185,1819,1108,18
70256,1171,264,6191,1819,1105,18
70256,1171,7207,6191,1819,1104,19
70256,1171,314,6191,1819,1107,18
70256,1171,311,6182,1818,1107,18
77177,1172,264,6192,1819,1109,19
77177,1172,7208,6167,1819,1105,18
77177,1172,2096,6191,1819,1106,18
77177,1172,313,6192,1818,1105,18
