RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.057792,0.003329,-0.105925,6.202112,4.372231,1.548107,6.768681,21.835289,19.053782,17.087830,12.984846,398.437500,375.000000,1945.312500,1
0.057334,0.003289,-0.068680,5.593463,5.099469,1.533775,7.821435,19.972729,25.044832,20.629852,12.193842,398.437500,375.000000,1945.312500,1
0.058238,0.003371,-0.290446,6.640736,4.902207,1.576950,7.730538,22.768335,25.193136,22.681866,10.304640,398.437500,375.000000,1382.812500,1
0.056584,0.003202,0.029093,5.827070,5.025741,1.530253,7.690657,21.172899,20.933800,18.736334,10.630143,375.000000,398.437500,1335.937500,1
0.062724,0.003936,0.058593,5.789412,4.032858,1.578680,6.366592,18.886610,19.864969,17.972181,13.457530,398.437500,375.000000,2414.062500,1
0.062568,0.003858,0.006517,4.970574,4.388024,1.496446,6.566443,17.680964,21.494600,15.713596,15.101981,398.437500,0.000000,23.437500,1
0.063885,0.004082,-0.031317,6.525623,4.807444,1.557537,7.487772,22.545988,20.200024,19.538967,13.945315,375.000000,398.437500,1851.562500,1
0.063234,0.003999,0.181010,7.286079,4.742717,1.567213,7.432849,24.019003,23.073046,22.258574,12.969126,375.000000,398.437500,2765.625000,1
0.062786,0.003925,0.656131,7.427199,6.431999,1.564146,10.060586,24.356415,27.427761,24.132179,13.749760,398.437500,375.000000,2765.625000,1
0.063248,0.004002,0.066525,6.008015,4.228946,1.563778,6.613133,19.742706,29.585346,23.182652,12.841393,398.437500,375.000000,1312.500000,1
0.062760,0.003932,-0.011204,5.521353,4.463654,1.533804,6.846370,18.490391,26.426552,23.323130,14.523984,398.437500,375.000000,1640.625000,1
0.066501,0.004424,-0.038129,6.578442,4.685981,1.567976,7.347507,22.392220,27.255363,22.672119,12.709361,398.437500,375.000000,3609.375000,1
0.063768,0.004065,-0.114124,5.157835,3.622038,1.534057,5.556414,18.173536,26.218512,23.292971,14.898491,398.437500,375.000000,1406.250000,1
0.059943,0.003595,0.224034,6.352053,5.120055,1.536082,7.864824,21.913506,21.588600,20.381762,13.609007,375.000000,398.437500,1359.375000,1
0.061815,0.003807,0.238982,5.347653,4.051987,1.539003,6.236022,18.278246,18.727783,16.704695,14.401112,398.437500,375.000000,2085.937500,1
0.066960,0.004424,0.260882,5.757318,4.419202,1.550566,6.852264,19.445589,19.360474,17.482662,16.090488,398.437500,914.062500,0.000000,1
0.068090,0.004637,0.044366,5.638731,4.211562,1.548000,6.519497,20.568480,21.272778,19.383633,19.011126,398.437500,375.000000,914.062500,1
0.069620,0.004845,0.354148,6.531790,4.800793,1.592184,7.643747,22.604980,27.727015,22.852123,15.684519,398.437500,375.000000,914.062500,1
0.065247,0.004259,-0.015819,5.440800,4.017575,1.534197,6.163751,18.206528,25.850668,24.379358,14.461905,398.437500,375.000000,2109.375000,1
0.068432,0.004685,0.029096,6.583255,4.351255,1.584013,6.892446,23.467405,25.372166,21.023829,17.372787,398.437500,375.000000,2320.312500,1
0.063285,0.004005,0.211476,5.377688,4.753488,1.511391,7.184378,18.322556,20.985680,17.548893,14.042247,398.437500,375.000000,867.187500,1
0.064422,0.004152,-0.018262,5.711779,4.601904,1.540595,7.089673,19.350813,18.165382,16.076065,14.882026,398.437500,375.000000,843.750000,1
0.067374,0.004538,-0.072588,5.148088,3.784333,1.527502,5.780576,18.880253,19.475426,18.682404,18.285961,375.000000,398.437500,1054.687500,1
0.065676,0.004315,-0.144053,5.942775,4.114326,1.540636,6.338681,20.414932,22.638731,20.695410,16.992962,398.437500,375.000000,1359.375000,1
