RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
1026.869995,1054977.125000,0.114232,5.574747,4.380275,1.529491,6.699594,19.670240,255000.484375,226308.609375,222930.734375,2929.687500,1828.125000,1500.000000,4
1102.166992,1215363.750000,-0.164170,6.113910,4.240111,1.565124,6.636300,20.652145,372424.000000,344557.781250,304138.968750,1101.562500,1125.000000,1476.562500,4
1086.522217,1181108.750000,-0.171463,6.407356,4.301165,1.596177,6.865422,21.701693,347517.031250,324669.437500,320491.406250,1125.000000,1453.125000,1476.562500,4
1089.364868,1187285.250000,-0.177326,6.344587,4.289941,1.587679,6.811051,21.484266,325294.750000,322173.468750,309572.625000,1101.562500,1476.562500,1453.125000,4
1086.945190,1182021.625000,-0.302213,6.218933,4.303053,1.582423,6.809252,21.453424,376335.093750,316222.437500,286168.062500,2929.687500,1148.437500,1125.000000,3
928.231567,862032.812500,-0.130815,5.927038,5.038811,1.541460,7.767127,21.450005,291576.843750,247972.968750,224080.625000,2929.687500,375.000000,1476.562500,4
929.285706,863991.500000,-0.131814,5.900668,5.033095,1.533845,7.719987,21.143265,305178.125000,248488.843750,211440.187500,2929.687500,375.000000,2953.125000,4
923.644470,853515.312500,-0.117817,6.029109,5.063835,1.544656,7.821882,21.506863,267501.562500,229843.562500,200158.515625,2929.687500,375.000000,2953.125000,3
1002.487366,1005471.687500,0.141866,7.196115,5.844429,1.579251,9.229822,24.416248,256489.125000,243950.750000,214628.750000,1523.437500,1500.000000,726.562500,4
1041.187622,1084596.625000,0.077814,7.207541,5.627196,1.590326,8.949078,24.340021,253887.281250,246859.906250,237719.468750,1546.875000,1359.375000,1570.312500,3
1041.887817,1086058.875000,0.077247,7.187436,5.623414,1.588376,8.932095,24.334133,261533.593750,256068.812500,224089.515625,1570.312500,1546.875000,1335.937500,4
1047.441650,1097642.500000,0.047279,7.052674,5.593597,1.578687,8.830539,23.950567,292075.656250,243855.843750,243307.281250,1546.875000,1359.375000,679.687500,4
986.605530,973797.187500,-0.170509,5.594903,4.566125,1.526368,6.969586,21.180353,314722.937500,249819.703125,249183.406250,1476.562500,2929.687500,750.000000,4
956.163635,914673.750000,-0.439655,5.710161,3.681608,1.532554,5.642264,19.206345,323010.187500,275009.625000,271334.718750,1476.562500,1453.125000,2929.687500,4
976.538086,954092.750000,-0.420557,5.348130,3.604795,1.500764,5.409946,18.180277,323989.656250,321913.906250,298266.812500,1453.125000,1476.562500,2929.687500,4
972.679688,946546.062500,-0.413960,5.426345,3.619095,1.515568,5.484983,18.637575,311468.593750,299286.843750,289750.718750,1453.125000,2929.687500,1476.562500,4
1058.022949,1119902.875000,-0.359362,6.327774,4.118737,1.574437,6.484693,21.059628,313595.593750,268270.781250,259918.187500,1101.562500,1828.125000,2976.562500,3
1063.742432,1132100.750000,0.148474,6.284534,5.061424,1.556090,7.876033,22.819971,339612.531250,283072.718750,264022.250000,1101.562500,1125.000000,1828.125000,4
1050.417114,1103914.000000,0.154282,6.559135,5.125632,1.579285,8.094832,23.632183,309435.843750,296218.687500,244588.125000,1101.562500,1125.000000,1828.125000,4
1063.800293,1132220.250000,0.147405,6.314649,5.061149,1.561020,7.900552,22.813829,359540.000000,277853.218750,259423.125000,1101.562500,1078.125000,1476.562500,3
923.822754,853841.875000,0.462800,6.415722,5.828014,1.521240,8.865805,21.284126,260046.968750,197455.593750,191578.687500,1101.562500,726.562500,1078.125000,4
966.398499,934335.500000,0.035284,6.361562,4.980217,1.545093,7.694896,23.704109,314262.343750,242572.406250,241290.984375,1101.562500,726.562500,750.000000,4
968.833679,939095.062500,0.041353,6.327592,4.967699,1.547169,7.685868,23.825518,368927.812500,265428.343750,246473.578125,1101.562500,750.000000,726.562500,4
949.124023,901275.812500,0.047205,6.709206,5.070859,1.571120,7.966927,25.010153,326215.687500,242007.078125,232392.203125,1101.562500,726.562500,1125.000000,3
1005.227051,1010974.312500,0.044223,5.769826,4.605577,1.560794,7.188356,23.130812,296400.500000,261568.968750,251297.640625,1101.562500,1476.562500,750.000000,4
972.604492,946397.000000,0.055001,5.026179,3.968263,1.529666,6.070117,19.139549,358153.093750,303067.500000,276830.125000,1476.562500,1453.125000,2929.687500,3
964.117371,929975.187500,0.056395,5.148889,4.003196,1.540920,6.168607,19.505362,355970.000000,333039.437500,279016.218750,1476.562500,1453.125000,2929.687500,4
962.057251,926004.812500,0.055201,5.188744,4.011768,1.548466,6.212086,19.745184,352025.937500,299880.468750,278845.968750,1476.562500,1453.125000,2929.687500,4
874.590027,765262.500000,-0.074660,5.272902,4.218046,1.532967,6.466125,20.852983,247582.234375,230695.718750,224389.125000,2906.250000,1476.562500,2929.687500,3
862.329041,743972.250000,-0.026304,5.485134,4.429474,1.542852,6.834024,19.828106,243303.468750,226211.546875,208900.015625,2929.687500,1828.125000,2203.125000,3
861.485840,742520.500000,-0.015254,5.502940,4.433809,1.547473,6.861202,20.023863,234051.828125,230066.359375,214481.750000,2929.687500,1828.125000,2203.125000,4
860.535522,740876.187500,-0.004008,5.522481,4.438706,1.551495,6.886629,20.267925,220710.500000,218712.343750,182338.140625,2929.687500,2203.125000,1828.125000,3
929.653564,864660.625000,0.054119,6.149415,4.108696,1.604125,6.590863,19.731867,258660.921875,252524.890625,238925.734375,1101.562500,1429.687500,1125.000000,4
885.403687,784315.687500,-0.124708,6.860509,4.207777,1.626105,6.842286,22.954910,284484.000000,279415.968750,254097.671875,914.062500,1101.562500,1125.000000,4
885.912781,785219.562500,-0.132589,6.856459,4.205359,1.624916,6.833356,22.905045,300731.687500,277068.843750,247696.843750,914.062500,1101.562500,1476.562500,4
885.059631,783665.562500,-0.141909,6.886189,4.209413,1.625651,6.843034,22.833206,285162.312500,265239.718750,255216.234375,914.062500,1101.562500,1125.000000,4
829.362671,688149.187500,-0.244126,7.305285,4.981342,1.602620,7.983198,24.895199,245430.546875,209795.453125,192694.937500,2929.687500,1500.000000,1804.687500,4
773.965942,599313.250000,-0.071399,6.495946,5.337882,1.551832,8.283497,24.819645,229899.390625,209082.921875,205953.812500,1453.125000,2953.125000,1476.562500,3
779.890808,608521.000000,-0.066637,6.342075,5.297330,1.547361,8.196880,24.507454,232829.718750,229309.953125,225664.968750,1453.125000,2953.125000,1476.562500,4
783.791748,614622.750000,-0.074316,6.228842,5.270965,1.541888,8.127238,24.348347,240465.171875,231756.812500,216137.500000,1453.125000,2953.125000,375.000000,4
768.005005,589990.062500,0.041139,5.206398,4.681564,1.504677,7.044242,19.698315,221234.140625,199790.171875,173486.500000,1476.562500,1500.000000,2929.687500,3
762.537048,581746.250000,0.031900,5.418417,4.715134,1.510438,7.121919,19.935745,208705.812500,204101.703125,162153.578125,914.062500,937.500000,1476.562500,4
767.003723,588582.250000,0.009214,5.306894,4.687675,1.492096,6.994462,19.351561,224444.875000,195274.531250,187627.375000,937.500000,2953.125000,914.062500,4
763.694702,583512.250000,0.016653,5.388564,4.707986,1.494682,7.036942,19.368050,208838.234375,193926.281250,164969.906250,937.500000,914.062500,2953.125000,3
778.759949,606754.250000,-0.393249,6.530900,4.816296,1.530323,7.370491,22.395248,202533.921875,185207.609375,172121.406250,773.437500,1476.562500,1054.687500,4
798.341187,637635.250000,-0.336410,6.735580,4.835954,1.547339,7.482861,22.559288,254200.875000,198667.250000,193546.375000,1429.687500,1406.250000,1054.687500,3
787.934509,621142.500000,-0.325428,7.033520,4.899825,1.578253,7.733166,23.703094,208290.125000,208266.781250,204926.703125,1406.250000,1453.125000,1429.687500,4
791.243347,626372.125000,-0.324361,6.928934,4.879335,1.570350,7.662263,23.550032,211158.187500,206955.593750,206203.296875,1429.687500,1453.125000,1406.250000,3
831.474731,691569.062500,-0.068803,5.446372,4.643246,1.550117,7.197574,20.705418,190681.531250,185397.640625,180045.593750,1500.000000,1101.562500,1406.250000,3
819.321533,671615.750000,-0.088114,5.268995,4.269616,1.546680,6.603732,18.555269,245417.843750,221244.203125,214255.968750,1476.562500,1125.000000,843.750000,3
819.898987,672562.562500,-0.086437,5.242679,4.266609,1.536184,6.554298,18.305429,295495.718750,207134.281250,204420.906250,1476.562500,1125.000000,1101.562500,4
818.568848,670377.812500,-0.079251,5.278790,4.273542,1.543284,6.595287,18.430075,300571.500000,205809.140625,198950.156250,1476.562500,1101.562500,3000.000000,4
777.455994,604650.062500,-0.004288,6.282987,5.322426,1.560947,8.308022,22.729752,204652.390625,181755.859375,180836.437500,843.750000,1171.875000,1570.312500,4
837.131775,701117.562500,-0.004698,6.081478,4.943012,1.556558,7.694087,21.571974,256477.390625,246117.000000,228513.890625,726.562500,703.125000,1101.562500,3
833.895996,695722.375000,-0.015350,6.165934,4.962192,1.568945,7.785408,21.948828,248874.359375,224011.953125,218575.078125,703.125000,726.562500,1101.562500,4
853.590759,728901.000000,0.011463,5.804692,4.847700,1.535159,7.441990,20.542467,239635.562500,232749.453125,228643.218750,703.125000,1101.562500,679.687500,4
805.303040,648819.562500,-0.059260,5.458413,4.539779,1.508263,6.847180,19.850668,238019.375000,232744.453125,230908.375000,1500.000000,1476.562500,1101.562500,3
744.853149,555077.437500,0.305151,5.121645,4.718708,1.480209,6.984675,19.108854,202665.875000,165247.703125,160873.984375,1476.562500,375.000000,1453.125000,4
751.619446,565206.750000,0.301670,4.976451,4.676229,1.463453,6.843443,18.513000,209678.265625,193886.078125,176751.187500,1476.562500,375.000000,1453.125000,4
727.058838,528753.000000,0.308017,5.302877,4.834195,1.497176,7.237641,20.018482,186309.171875,167407.421875,166419.046875,1476.562500,1453.125000,375.000000,3
