RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.094800,0.008991,-0.153184,4.970305,3.853693,1.485688,5.725384,18.163651,83.801765,67.353767,28.262764,398.437500,375.000000,421.875000,3
0.094514,0.008879,0.361551,4.132582,3.717679,1.456690,5.415505,14.103163,83.192909,64.308365,22.886150,398.437500,375.000000,1570.312500,3
0.094886,0.008994,0.269493,5.050486,4.292969,1.486428,6.381192,18.679792,82.844925,64.336105,28.529474,398.437500,375.000000,421.875000,3
0.091991,0.008413,0.385422,4.237417,4.150587,1.456904,6.047008,15.622062,81.968765,66.797127,21.167885,398.437500,375.000000,421.875000,3
0.088841,0.007887,0.137578,3.864948,3.546862,1.421493,5.041841,13.214764,82.114159,62.869762,25.426786,398.437500,375.000000,421.875000,3
0.093540,0.008750,0.138676,3.925314,3.602284,1.433875,5.165225,13.565710,83.722466,71.584335,21.953945,398.437500,375.000000,421.875000,3
0.097773,0.009542,0.372709,4.246158,3.612809,1.456520,5.262130,14.149853,86.806435,73.970734,23.853212,398.437500,375.000000,421.875000,3
0.096844,0.009361,0.299971,4.220065,3.867281,1.452178,5.615981,14.120666,86.723412,71.093666,24.311855,398.437500,375.000000,421.875000,3
0.098588,0.009585,0.285819,4.270303,3.642119,1.454723,5.298275,15.882772,89.106232,66.742798,27.434778,398.437500,375.000000,421.875000,3
0.099639,0.009907,0.385742,4.833187,4.197917,1.485470,6.235878,15.946712,88.768845,67.948799,28.189619,398.437500,375.000000,421.875000,3
0.097062,0.009426,-0.092154,4.550363,3.929624,1.472781,5.787475,16.534374,84.963326,73.264023,21.830288,398.437500,375.000000,421.875000,3
0.092450,0.008535,0.042936,4.557234,4.292586,1.462508,6.277941,16.663734,83.477425,65.463219,23.735439,398.437500,375.000000,421.875000,3
0.091121,0.008166,0.384230,4.520407,4.646968,1.455109,6.761845,15.980492,82.663170,65.420204,24.305239,398.437500,375.000000,0.000000,3
0.092131,0.008471,0.283118,4.622428,3.828116,1.471038,5.631303,16.269602,83.059120,65.579155,26.743937,398.437500,375.000000,421.875000,3
0.092801,0.008602,0.293827,4.138230,3.475474,1.453760,5.052505,14.094167,81.199997,66.464523,18.766649,398.437500,375.000000,421.875000,3
0.094242,0.008875,0.141772,4.307808,3.603199,1.454456,5.240695,15.759253,84.652390,65.956680,28.158546,398.437500,375.000000,421.875000,3
0.093773,0.008784,0.308913,4.511936,3.932285,1.465302,5.761982,15.292397,85.102188,64.662056,27.079035,398.437500,375.000000,421.875000,3
0.095205,0.008901,0.528482,4.422976,4.085641,1.478969,6.042539,14.367004,80.650597,68.785217,26.488415,398.437500,375.000000,0.000000,3
0.093107,0.008656,0.285512,4.143759,3.823586,1.459942,5.582214,15.473217,83.494698,67.301483,28.083908,398.437500,375.000000,421.875000,3
0.089981,0.008084,0.264220,4.874137,5.216424,1.453792,7.583599,18.580296,80.564003,63.546852,22.562496,398.437500,375.000000,421.875000,3
0.091471,0.008368,0.066059,4.419350,3.550832,1.480829,5.258174,14.760134,78.685074,68.227158,21.054705,398.437500,375.000000,421.875000,3
0.095065,0.009025,0.068173,4.850634,3.766169,1.472407,5.545332,15.420352,82.600281,66.286324,24.291813,398.437500,375.000000,421.875000,3
0.093252,0.008687,0.246161,4.350111,4.352985,1.452006,6.320560,15.545391,81.138535,69.382095,21.157066,398.437500,375.000000,421.875000,3
0.087721,0.007675,0.083248,4.338345,3.474033,1.426852,4.956931,14.847512,77.943825,63.191257,23.309282,398.437500,375.000000,421.875000,3
0.087704,0.007696,0.001729,4.185502,3.733276,1.453020,5.424525,15.098771,78.618156,59.937424,22.329639,398.437500,375.000000,421.875000,3
0.091108,0.008271,0.282433,4.395186,3.721494,1.467480,5.461218,15.732343,81.553879,60.782597,28.550627,398.437500,375.000000,421.875000,3
0.089153,0.007943,0.336406,4.176801,4.091435,1.453495,5.946881,14.533088,78.384598,63.724602,21.746666,398.437500,375.000000,421.875000,3
0.087960,0.007741,0.033118,4.363441,3.769732,1.443731,5.442480,16.205540,76.068756,67.584381,16.890965,398.437500,375.000000,421.875000,3
0.087609,0.007679,0.070451,4.028057,3.585253,1.442272,5.170909,14.082284,78.703064,63.520664,23.881205,398.437500,375.000000,421.875000,3
0.087245,0.007596,-0.151394,4.338737,3.687253,1.447676,5.337947,16.004202,78.435448,63.751602,22.725014,398.437500,375.000000,421.875000,3
0.086174,0.007400,0.254047,4.483171,3.855536,1.463229,5.641533,15.822270,75.700462,64.164093,19.898935,398.437500,375.000000,421.875000,3
0.085544,0.007320,0.164572,4.300661,3.837074,1.458468,5.596248,14.971367,77.325218,59.632378,20.687099,398.437500,375.000000,421.875000,3
0.088822,0.007892,0.006663,4.568723,3.607066,1.468289,5.296215,17.100056,80.489655,66.773773,24.447489,398.437500,375.000000,421.875000,3
0.091497,0.008369,0.053237,4.295974,3.792747,1.439567,5.459913,15.625577,81.539238,70.540176,19.261734,398.437500,375.000000,562.500000,3
0.095982,0.009206,0.181734,4.474303,3.679812,1.458610,5.367411,15.811279,83.175468,68.504829,24.319214,398.437500,375.000000,421.875000,3
0.093529,0.008733,0.336871,4.106711,3.926652,1.449695,5.692450,14.303902,84.089149,69.059662,22.964558,398.437500,375.000000,421.875000,3
0.089490,0.008006,0.132218,4.043813,4.266607,1.438523,6.137610,15.546396,83.080894,65.433464,23.892382,398.437500,375.000000,421.875000,3
0.091068,0.008295,0.238588,4.515260,3.986240,1.460902,5.823504,15.046794,82.233498,66.352882,24.708925,398.437500,375.000000,421.875000,3
0.090918,0.008225,0.564945,4.588990,4.441658,1.459762,6.483763,15.766621,81.722427,62.444729,23.977055,398.437500,375.000000,421.875000,3
0.090032,0.008042,0.512837,4.424188,4.524405,1.453570,6.576540,16.293350,80.930641,68.566864,21.290062,398.437500,375.000000,421.875000,3
0.091623,0.008371,0.215583,4.095850,3.441248,1.458472,5.018964,14.149158,81.014145,73.448074,21.825871,398.437500,375.000000,421.875000,3
0.088782,0.007867,0.198516,4.293229,4.235979,1.447738,6.132589,15.110015,77.953659,63.830242,18.942347,398.437500,375.000000,421.875000,3
0.088353,0.007808,0.148131,4.130325,3.564609,1.461800,5.210747,14.720401,76.973663,63.154049,21.785234,398.437500,375.000000,421.875000,3
0.088097,0.007763,-0.067698,4.614367,3.914440,1.450515,5.677955,17.235655,79.548683,59.861931,24.924446,398.437500,375.000000,421.875000,3
0.088930,0.007911,0.201060,4.177070,3.522487,1.439597,5.070962,14.434719,81.789688,65.569878,22.142223,398.437500,375.000000,421.875000,3
0.092980,0.008649,0.326102,4.517051,3.955366,1.468062,5.806720,15.463839,82.730507,70.373817,24.471069,398.437500,375.000000,421.875000,3
0.092211,0.008498,0.329373,4.351062,3.613696,1.462590,5.285355,15.050532,81.854462,67.575027,21.182646,398.437500,375.000000,421.875000,3
0.094154,0.008812,0.543548,4.858914,4.127249,1.489971,6.149480,16.723942,80.744232,71.058746,20.469007,398.437500,375.000000,421.875000,3
0.089911,0.008083,0.318309,4.233928,4.047377,1.455481,5.890882,15.114146,79.433159,65.588173,21.045061,398.437500,375.000000,421.875000,3
0.088308,0.007795,0.409616,4.619403,4.706766,1.471228,6.924726,16.173071,79.209686,62.073025,24.860048,398.437500,375.000000,421.875000,3
0.088783,0.007874,0.316306,4.997785,4.340382,1.490585,6.469706,19.141008,77.016380,66.239777,19.125429,398.437500,375.000000,421.875000,3
0.083565,0.006986,0.347429,4.138222,3.904883,1.450407,5.663668,14.875395,75.417625,63.057724,20.676220,398.437500,375.000000,421.875000,3
0.083620,0.006995,0.034780,4.319724,3.732244,1.448017,5.404352,15.529596,73.373428,64.461800,17.279202,398.437500,375.000000,421.875000,3
0.084599,0.007154,-0.028267,3.960003,3.576647,1.421096,5.082758,14.079692,74.189613,62.063599,18.777700,398.437500,375.000000,421.875000,3
0.087160,0.007599,-0.074987,3.993040,3.441843,1.435067,4.939276,13.797000,78.633766,64.448357,23.282715,398.437500,375.000000,421.875000,3
0.088721,0.007869,0.122840,4.231525,3.501840,1.435952,5.028474,13.936712,80.822121,66.156960,22.589884,398.437500,375.000000,421.875000,3
0.088942,0.007903,0.119582,4.655380,4.481669,1.457720,6.533018,18.002638,79.544159,64.378448,23.434042,398.437500,375.000000,421.875000,3
0.085639,0.007337,0.209370,4.338639,3.956695,1.450165,5.737860,14.831738,76.677902,62.735966,19.685476,398.437500,375.000000,421.875000,3
0.083430,0.006935,0.138221,4.416050,4.759848,1.430316,6.808085,16.066965,76.693466,61.593323,21.940580,398.437500,375.000000,421.875000,3
0.088145,0.007773,0.264288,4.147934,4.397933,1.432332,6.299301,15.666203,78.571472,70.326920,17.839872,398.437500,375.000000,421.875000,3
0.092052,0.008477,0.112053,4.271782,3.455634,1.456422,5.032861,14.650502,82.574287,67.551704,25.135168,398.437500,375.000000,421.875000,3
0.090919,0.008247,0.283140,4.107586,3.634776,1.441498,5.239523,13.550331,82.996170,69.181862,19.964285,398.437500,375.000000,421.875000,3
0.094253,0.008888,-0.003427,4.382264,3.524599,1.459848,5.145380,15.469110,85.215515,70.967133,26.695618,398.437500,375.000000,421.875000,3
0.094219,0.008874,0.274231,4.175564,3.773291,1.444888,5.451984,14.901658,82.921959,70.097618,19.101614,398.437500,375.000000,421.875000,3
0.092950,0.008644,0.159455,4.339622,3.724007,1.450043,5.399972,15.897678,82.225098,69.696030,24.336409,398.437500,375.000000,421.875000,3
0.088418,0.007803,-0.050135,3.880286,3.206304,1.417114,4.543697,13.264607,81.481354,66.708130,21.089138,398.437500,375.000000,421.875000,3
0.090065,0.008112,0.109324,4.090820,3.576321,1.436370,5.136921,14.201540,81.497879,69.700050,19.380089,398.437500,375.000000,421.875000,3
0.092479,0.008538,0.288460,4.160554,3.501267,1.453744,5.089946,13.387762,83.045815,68.951500,27.020737,398.437500,375.000000,421.875000,3
0.087357,0.007635,0.076195,3.772923,3.266888,1.409364,4.604232,13.895981,80.825371,64.819618,18.834339,398.437500,375.000000,421.875000,3
0.090446,0.008183,0.205286,4.373821,4.303896,1.463065,6.296881,15.897972,78.838501,69.072243,22.573917,398.437500,375.000000,421.875000,3
0.092501,0.008542,0.180099,4.127565,3.377295,1.446073,4.883817,13.646196,80.031937,67.100883,20.768494,398.437500,375.000000,1570.312500,3
0.100804,0.010158,0.328275,4.593287,3.563994,1.485726,5.295118,15.204637,86.805878,73.791817,27.821323,398.437500,375.000000,421.875000,3
0.098176,0.009643,0.116285,4.022857,3.515484,1.447582,5.088951,14.945174,85.791595,76.649681,18.009953,398.437500,375.000000,421.875000,3
0.097400,0.009476,-0.010596,5.089243,3.644376,1.460913,5.324115,18.093603,88.894890,70.579628,27.558830,398.437500,375.000000,421.875000,3
0.098951,0.009788,0.309763,4.388237,3.770941,1.466171,5.528844,16.102333,89.950729,75.725891,23.997643,398.437500,375.000000,421.875000,3
0.093735,0.008777,0.435860,4.242111,3.556188,1.454820,5.173614,13.569080,87.250404,70.249100,27.556057,398.437500,375.000000,421.875000,3
0.085159,0.007224,0.333623,4.373618,4.116555,1.455113,5.990051,16.177406,77.599892,65.826134,22.306211,398.437500,375.000000,421.875000,3
0.077175,0.005947,-0.090174,4.835969,4.516278,1.455203,6.572100,17.780987,66.472649,56.378265,14.338150,398.437500,375.000000,421.875000,3
0.076021,0.005782,-0.100137,4.314183,3.866759,1.443826,5.582926,15.975360,66.573257,53.703156,17.492722,398.437500,375.000000,421.875000,3
0.082126,0.006746,-0.108747,5.008910,3.956426,1.491706,5.901824,17.960272,70.619423,60.351074,22.650587,398.437500,375.000000,421.875000,3
0.078262,0.006118,0.032433,4.049939,3.814660,1.423768,5.431191,15.196215,69.948723,57.975006,15.075280,398.437500,375.000000,1570.312500,3
0.080984,0.006512,-0.003641,4.293595,3.623340,1.452691,5.263592,14.900411,71.364967,60.656727,21.567703,398.437500,375.000000,421.875000,3
0.084300,0.007062,-0.008003,4.516618,3.811354,1.441828,5.495316,16.690445,75.495598,60.867058,19.183159,398.437500,375.000000,421.875000,3
0.087323,0.007623,0.242191,3.984969,3.315564,1.427138,4.731767,13.363388,80.959579,66.731026,22.557825,398.437500,375.000000,421.875000,3
0.092465,0.008554,0.117689,3.911593,3.576765,1.426239,5.101322,13.651901,87.251854,72.458931,27.143717,398.437500,375.000000,421.875000,3
0.094010,0.008826,0.333952,4.030581,3.609227,1.440324,5.198454,13.244758,87.920738,67.944725,28.046377,398.437500,375.000000,421.875000,3
0.092416,0.008398,0.697212,4.688059,4.451200,1.471541,6.550123,15.080276,81.177658,68.684319,24.780348,398.437500,375.000000,0.000000,3
0.092802,0.008579,0.566527,4.799083,3.882328,1.485558,5.767425,16.331814,82.165161,70.368294,22.347218,398.437500,375.000000,421.875000,3
0.095159,0.009045,0.375913,4.760249,3.927392,1.480173,5.813222,15.946828,85.499603,70.838959,22.371847,398.437500,375.000000,421.875000,3
0.095524,0.009077,0.430696,4.883086,4.207596,1.497292,6.300001,16.097076,86.431435,70.016891,27.445694,398.437500,375.000000,421.875000,3
0.092912,0.008624,0.269101,4.530865,4.175303,1.455300,6.076320,16.659672,81.634705,66.745110,21.829845,398.437500,375.000000,421.875000,3
0.093313,0.008698,0.424258,4.146526,3.899017,1.455307,5.674265,14.171481,77.414253,72.332153,18.597925,398.437500,375.000000,351.562500,3
0.093499,0.008686,0.527587,4.897403,4.877502,1.452613,7.085125,18.224310,82.406181,65.730911,26.809916,398.437500,375.000000,421.875000,3
0.092807,0.008616,0.093777,4.083022,3.779518,1.435564,5.425739,14.777568,83.689941,68.485725,21.407925,398.437500,375.000000,421.875000,3
0.095829,0.009170,0.185119,4.554851,3.828547,1.466632,5.615069,15.777114,84.559761,70.052666,24.650404,398.437500,375.000000,421.875000,3
0.097912,0.009591,0.070246,4.818569,3.856405,1.491548,5.752013,16.021740,85.861481,67.636284,25.198635,398.437500,375.000000,421.875000,3
0.096864,0.009359,0.527144,5.596383,5.036143,1.513019,7.619779,20.759287,81.336411,68.320953,23.969225,398.437500,375.000000,421.875000,3
0.086176,0.007417,0.288398,4.063995,3.541893,1.450983,5.139226,13.763169,75.789452,61.781719,20.249889,398.437500,375.000000,421.875000,3
0.083539,0.006981,0.256036,4.570320,4.506973,1.454430,6.555075,16.475157,73.317245,60.852764,17.978161,398.437500,375.000000,421.875000,3
0.088857,0.007898,0.313973,5.429556,5.191196,1.498205,7.777474,18.826666,74.692581,65.354095,22.319773,398.437500,375.000000,421.875000,3
0.087688,0.007668,0.373641,4.352365,3.795843,1.473246,5.592209,15.007252,75.730057,61.179348,18.002493,398.437500,375.000000,421.875000,3
0.086626,0.007508,0.199106,4.255928,3.447725,1.475714,5.087856,13.552924,76.479210,64.527641,23.656879,398.437500,375.000000,421.875000,3
