RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
0.003635,0.000010,0.724422,2.629528,2.662306,1.458070,3.881827,8.942025,3.676285,3.505325,1.759106,23.437500,0.000000,46.875000,0
0.013246,0.000116,-0.657536,1.954150,0.517650,1.437772,0.744263,5.922077,15.813145,14.548885,5.100529,0.000000,23.437500,46.875000,0
0.001701,0.000003,0.824096,5.735735,5.284379,1.483027,7.836879,16.249096,0.816868,0.751371,0.690792,0.000000,890.625000,23.437500,0
0.001660,0.000003,0.173074,4.196005,3.468347,1.468276,5.092492,14.664001,0.950684,0.795588,0.710788,796.875000,843.750000,820.312500,0
0.002052,0.000004,-0.846413,9.162436,3.800002,1.693551,6.435496,24.824629,1.268366,1.009867,0.899631,820.312500,796.875000,843.750000,0
0.001501,0.000002,-0.076570,4.460326,3.365345,1.469105,4.944044,14.755652,0.814210,0.681566,0.597351,820.312500,890.625000,914.062500,0
0.001355,0.000002,0.355421,4.718941,3.883695,1.489544,5.784934,14.479977,0.977265,0.721145,0.487125,914.062500,890.625000,843.750000,0
0.003451,0.000008,-0.506804,2.683110,1.215043,1.384816,1.682612,8.043627,3.911977,3.457407,0.975430,0.000000,23.437500,890.625000,0
0.003711,0.000010,-0.598346,2.560166,1.391398,1.425480,1.983410,8.597573,3.773041,3.601027,1.281610,0.000000,23.437500,46.875000,0
0.003728,0.000010,0.784785,3.016610,3.137550,1.456748,4.570621,9.477134,3.823338,3.607413,1.311450,0.000000,23.437500,46.875000,0
0.002207,0.000005,-0.735961,4.151093,2.402824,1.470883,3.534272,12.936371,1.761436,1.223960,0.955960,23.437500,0.000000,46.875000,0
0.001486,0.000002,-0.746159,6.181417,3.223262,1.582769,5.101679,17.887564,0.643329,0.634585,0.608205,867.187500,515.625000,890.625000,0
0.003301,0.000007,-0.743235,2.772685,0.992178,1.422697,1.411568,9.007020,3.788001,3.330173,0.902838,0.000000,23.437500,46.875000,0
0.001460,0.000002,-1.059935,5.023298,2.537559,1.528827,3.879489,15.224264,1.071815,0.911693,0.617388,0.000000,23.437500,960.937500,0
0.013349,0.000117,0.582814,1.841946,2.227880,1.419262,3.161944,5.586300,16.055370,14.739378,4.911092,0.000000,23.437500,46.875000,0
0.006053,0.000033,-0.477970,2.549156,1.353199,1.330765,1.800790,7.456459,7.053972,4.040755,3.816146,23.437500,0.000000,46.875000,0
0.001467,0.000002,0.473337,5.525463,4.447882,1.553695,6.910650,19.070040,0.927539,0.892704,0.718184,23.437500,0.000000,46.875000,0
0.000974,0.000001,-1.335284,6.688184,2.848021,1.652410,4.706098,18.587746,0.497187,0.400155,0.364099,46.875000,0.000000,23.437500,0
0.003184,0.000006,-0.504722,1.761961,0.466291,1.397200,0.651501,5.486321,4.024923,3.408691,0.916433,0.000000,23.437500,46.875000,0
0.000671,0.000000,-1.043502,5.779972,3.164570,1.593581,5.042998,18.133915,0.421897,0.326627,0.250144,23.437500,46.875000,0.000000,0
0.000889,0.000001,-0.444388,2.900630,2.010816,1.399721,2.814582,9.906385,0.855254,0.852337,0.293408,0.000000,23.437500,46.875000,0
0.007379,0.000038,-0.557878,1.746737,0.508247,1.422956,0.723212,5.416554,8.380699,8.109698,3.523445,0.000000,23.437500,46.875000,0
0.006977,0.000036,-0.624764,2.046167,0.696713,1.425140,0.992914,6.267057,7.611455,7.231166,4.059477,23.437500,0.000000,46.875000,0
0.000785,0.000001,-0.604709,4.857951,2.717886,1.543270,4.194433,15.016939,0.424573,0.409381,0.377742,0.000000,46.875000,23.437500,0
0.000694,0.000000,-0.862750,4.735613,3.445374,1.494088,5.147693,14.988873,0.374785,0.370793,0.294197,117.187500,93.750000,140.625000,0
0.000618,0.000000,0.556278,4.374378,4.237312,1.434968,6.080405,13.852044,0.438501,0.300454,0.283372,46.875000,70.312500,23.437500,0
0.002128,0.000004,-1.089477,2.926241,0.575602,1.567123,0.902040,8.401443,2.212759,2.037537,1.436035,23.437500,0.000000,46.875000,0
0.012749,0.000113,0.553530,1.779365,2.070412,1.390795,2.879518,4.785744,14.482336,14.405956,5.177268,23.437500,0.000000,46.875000,0
0.018446,0.000200,-0.620063,1.822180,0.187191,1.451906,0.271784,4.921076,24.251316,19.394024,6.542027,0.000000,23.437500,46.875000,0
0.000566,0.000000,-0.776140,4.800926,2.699066,1.519292,4.100668,14.740378,0.369649,0.297312,0.287626,140.625000,117.187500,46.875000,0
0.000678,0.000000,0.389555,4.892287,3.639608,1.525990,5.554007,15.342486,0.408752,0.373292,0.352642,46.875000,23.437500,70.312500,0
0.002009,0.000003,-0.841423,2.757262,0.861913,1.463317,1.261251,7.994563,2.073719,2.039742,1.225738,23.437500,0.000000,46.875000,0
0.006925,0.000033,-0.715245,2.029597,0.460334,1.471466,0.677366,5.833070,7.840451,7.508159,3.614664,0.000000,23.437500,46.875000,0
0.000484,0.000000,1.088277,6.159478,4.639279,1.542406,7.155653,15.948675,0.280032,0.230799,0.222396,421.875000,46.875000,93.750000,0
0.013243,0.000115,-0.580924,1.799888,0.319491,1.413060,0.451460,4.738503,15.855844,14.703011,5.026096,0.000000,23.437500,46.875000,0
0.013530,0.000121,-0.613673,1.807453,0.331906,1.434004,0.475954,4.957551,16.084557,15.000652,5.375630,0.000000,23.437500,46.875000,0
0.000453,0.000000,0.414908,4.233742,3.054950,1.490221,4.552552,13.283937,0.283334,0.281501,0.270440,70.312500,140.625000,93.750000,0
0.013254,0.000115,0.648492,1.869882,2.078559,1.437583,2.988102,4.807054,15.907225,14.583092,5.349825,0.000000,23.437500,46.875000,0
0.013391,0.000118,-0.683786,1.936047,0.308445,1.446695,0.446227,5.037275,16.005302,14.754382,5.370682,0.000000,23.437500,46.875000,0
0.000624,0.000000,-0.246776,3.978199,2.497289,1.459704,3.645303,12.145915,0.535333,0.325545,0.304073,46.875000,70.312500,23.437500,0
0.000712,0.000000,-0.628604,2.528891,1.710202,1.443724,2.469059,9.346719,0.677975,0.585923,0.332739,0.000000,23.437500,46.875000,0
0.003271,0.000007,0.651563,1.873064,2.318974,1.451119,3.365108,5.870903,3.903603,3.572893,1.296794,0.000000,23.437500,46.875000,0
0.000456,0.000000,0.652325,4.529700,3.599527,1.528898,5.503309,14.767410,0.201675,0.179941,0.177583,46.875000,23.437500,468.750000,0
0.013192,0.000114,-0.583575,1.801355,0.366132,1.417620,0.519036,4.857067,15.872002,14.614996,4.986304,0.000000,23.437500,46.875000,0
0.000374,0.000000,0.909202,5.291993,4.373277,1.510054,6.603883,15.625707,0.192151,0.186709,0.146706,492.187500,421.875000,515.625000,0
0.000478,0.000000,-0.398900,5.699160,4.129263,1.566967,6.470421,19.170321,0.285822,0.234540,0.216265,46.875000,492.187500,468.750000,0
0.011178,0.000078,-0.624883,1.835579,0.254982,1.441470,0.367549,4.962466,14.101742,12.058920,4.083256,0.000000,23.437500,46.875000,0
