RMS,Mean,Median,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FalutID
39.392727,-3.4083347,-0.25341195,1540.1702,-0.417060911655426,3.9861736,4.3060675,1.6620798,7.157028,0.3019733,26028.798828125,25711.751953125,21983.46875,890.625,35.15625,609.375,1
39.039684,-2.683839,-0.053010523,1516.8939,-0.47572264075279236,4.2161336,4.3450084,1.692122,7.352284,0.31867474,27397.583984375,24789.14453125,21845.01953125,35.15625,890.625,609.375,1
28.972694,-3.4183817,-0.08827852,827.7317,-1.2674541473388672,4.9216413,3.8654578,1.6321491,6.3090034,0.35541168,23207.66015625,19354.59765625,13157.494140625,35.15625,445.3125,585.9375,1
23.92919,-3.6428835,-0.15691839,559.3355,-0.6662570834159851,1.7067542,3.1650884,1.493218,4.7261667,0.29492,25324.419921875,15132.9091796875,10572.62890625,35.15625,445.3125,855.46875,1
24.180307,-4.7419953,-0.36784005,562.20074,-0.5538459420204163,1.552979,3.1322181,1.4802364,4.6364236,0.2838261,22535.49609375,14099.1103515625,11006.2099609375,35.15625,445.3125,855.46875,1
24.038027,-5.0603476,-0.6275395,552.2196,-0.5111280083656311,1.6989021,3.1507578,1.5101064,4.75798,0.29890373,21071.998046875,11378.623046875,10877.3984375,35.15625,457.03125,855.46875,1
21.532825,-4.132415,-0.1812436,446.58575,-0.930372953414917,1.9909358,2.681287,1.530189,4.102876,0.29156303,28676.462890625,9966.8955078125,8574.5087890625,58.59375,398.4375,539.0625,1
17.419918,-0.9176509,-0.061585516,302.61148,-0.36251533031463623,1.5884137,3.5777574,1.4716913,5.265354,0.44483426,20968.6171875,13778.3017578125,7420.06201171875,58.59375,398.4375,539.0625,1
17.03249,-0.19516349,0.00087133865,290.06763,-0.44753172993659973,1.9716516,3.6591387,1.5030746,5.4999585,0.48535758,18670.251953125,11923.728515625,6482.40185546875,58.59375,398.4375,539.0625,1
17.394218,-1.4454777,-0.041834116,300.46942,-0.3918406069278717,1.5995641,3.5830436,1.488692,5.3340483,0.45651692,18876.171875,11190.4814453125,4966.51123046875,58.59375,445.3125,820.3125,1
17.41373,-2.6228566,-0.293922,296.35864,-0.1881445199251175,1.2882142,3.5790286,1.4727185,5.2709017,0.44577205,17481.611328125,10148.6181640625,3796.595703125,35.15625,421.875,785.15625,1
16.719429,-3.3655596,-0.60606074,268.21234,-0.1919509321451187,0.97456574,2.849579,1.4612159,4.1638503,0.363905,18961.306640625,12284.296875,4495.77294921875,46.875,503.90625,222.65625,1
16.596436,-2.8629541,-0.53704786,267.24515,-0.26299071311950684,1.017231,2.870697,1.4767087,4.239183,0.37719172,20401.767578125,10254.0888671875,4016.788330078125,46.875,503.90625,164.0625,1
15.81728,-1.6119614,-0.2178584,247.58795,-0.3873404860496521,1.5488958,3.012107,1.5144602,4.561716,0.4367715,16790.349609375,11832.826171875,4837.1181640625,46.875,503.90625,234.375,1
16.066143,-2.5408726,-0.24169305,251.66492,-0.7750102877616882,1.7120848,2.9654496,1.536344,4.555951,0.43566823,16446.1328125,8271.8271484375,4736.337890625,46.875,503.90625,187.5,1
17.96486,-2.3081944,-0.25563398,317.40845,-0.17818455398082733,2.3351603,4.2982926,1.564454,6.7244816,0.5855955,21289.181640625,8448.19140625,5886.80029296875,46.875,445.3125,597.65625,1
18.152603,-1.6489866,0.0,326.79785,-0.23875954747200012,2.0968761,4.253838,1.5202633,6.4669538,0.54160124,24726.3125,9830.3544921875,6297.57177734375,46.875,445.3125,597.65625,1
18.890156,-1.0973799,-0.0039018635,355.63376,-0.2120145559310913,2.247888,4.08775,1.5224496,6.2233934,0.50157356,23242.703125,9425.529296875,6031.32177734375,46.875,457.03125,902.34375,1
25.364779,-1.1319953,0.0,642.0905,-0.48354053497314453,3.4743261,4.650435,1.5971792,7.4275775,0.4677026,18864.80859375,18192.658203125,10038.6630859375,457.03125,140.625,585.9375,1
60.482166,1.5331984,0.00071361684,3655.7422,1.0088062286376953,5.704194,5.142284,1.799602,9.254065,0.27534783,73358.453125,28733.591796875,24812.76171875,140.625,445.3125,23.4375,1
110.0317,-3.3137808,-0.9847033,12095.994,1.1914657354354858,7.6533165,5.682581,1.7591959,9.996774,0.15982924,130303.3046875,63766.73046875,60618.98046875,140.625,468.75,597.65625,1
168.6397,-0.8914037,-7.0952344,28438.55,1.6383004188537598,7.1797075,5.344894,1.682852,8.994666,0.089757584,155569.453125,128091.3203125,93144.2421875,140.625,468.75,585.9375,1
