TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
70319,1148,171,6191,1821,1109,6,38282
77239,1147,172,6192,1820,1107,6,38257
70368,1148,171,6191,1820,1111,6,38280
75948,1149,171,6192,1820,1110,6,38271
79713,1148,172,6172,1820,1109,5,38268
70369,1148,172,6191,1820,1106,6,38279
70395,1147,171,6191,1821,1110,6,38264
79611,1147,172,6177,1821,1110,6,38259
70354,1147,172,6191,1821,1108,6,38287
77227,1148,171,6173,1821,1108,6,38263
70344,1148,171,6191,1820,1109,6,38265
70407,1148,171,6168,1821,1107,6,38246
70407,1148,172,6192,1820,1109,6,38261
75773,1147,171,6169,1821,1108,5,38241
70318,1148,172,6191,1820,1107,5,38282
70329,1148,172,6191,1821,1108,6,38276
70292,1147,171,6191,1821,1108,6,38277
86608,1148,172,6182,1820,1113,6,38252
70331,1147,171,6191,1820,1105,5,38280
70394,1147,172,6192,1820,1106,6,38277
70494,1147,172,6191,1820,1109,6,38223
70406,1149,171,6191,1821,1109,6,38273
70393,1147,172,6191,1821,1109,6,38284
75809,1148,171,6181,1820,1107,6,38266
70292,1148,171,6192,1820,1106,6,38276
77203,1148,172,6178,1821,1111,6,38261
70330,1148,171,6192,1820,1107,6,38277
70432,1148,172,6191,1820,1107,6,38266
70444,1148,172,6191,1821,1110,6,38248
70395,1148,172,6187,1821,1109,6,38279
79775,1148,171,6167,1821,1107,5,38260
70391,1148,172,6170,1820,1107,6,38244
75745,1147,171,6191,1820,1109,6,38278
77190,1147,171,6191,1820,1109,6,38266
70318,1148,172,6191,1821,1109,6,38272
70469,1148,172,6177,1820,1106,5,38243
70381,1148,172,6181,1820,1111,6,38268
70381,1148,171,6183,1821,1103,6,38262
70369,1148,172,6186,1821,1106,5,38262
70330,1147,171,6191,1820,1110,6,38250
70329,1147,173,6192,1820,1110,5,38288
77240,1147,172,6185,1820,1107,6,38250
70381,1148,171,6191,1820,1106,6,38269
75973,1148,172,6174,1820,1108,6,38263
79776,1147,172,6191,1820,1106,6,38272
70845,1148,172,6191,1821,1106,6,38238
75735,1148,172,6192,1820,1110,6,38276
70318,1148,171,6191,1820,1112,5,38275
70318,1148,171,6191,1821,1107,6,38283
77240,1147,172,6192,1820,1109,6,38258
70355,1147,172,6191,1821,1107,6,38273
70420,1147,171,6191,1821,1106,6,38268
70432,1148,171,6191,1821,1108,5,38245
75735,1148,172,6191,1821,1108,6,38264
70380,1148,172,6191,1820,1106,6,38274
70292,1147,171,6191,1820,1108,6,38261
70305,1147,171,6191,1821,1109,6,38242
86684,1148,172,6188,1821,1108,6,38273
70342,1149,171,6182,1820,1105,5,38225
70344,1147,171,6191,1821,1112,6,38277
70408,1148,172,6191,1821,1105,6,38270
70420,1147,171,6191,1820,1109,6,38259
75960,1147,171,6186,1821,1106,6,38237
70292,1147,172,6192,1820,1106,6,38274
79661,1148,172,6168,1821,1105,6,38244
77202,1148,172,6191,1821,1106,5,38277
70318,1147,171,6175,1820,1108,6,38250
70394,1147,172,6191,1821,1106,6,38278
70394,1148,171,6191,1819,1104,6,38239
70457,1147,172,6191,1820,1104,6,38271
70394,1148,171,6191,1821,1111,6,38258
79750,1148,172,6176,1821,1108,5,38255
75746,1148,171,6191,1821,1107,6,38241
77192,1148,171,6169,1820,1109,6,38246
70317,1148,172,6191,1820,1104,6,38274
70369,1147,172,6191,1820,1107,6,38270
70383,1148,171,6191,1820,1109,6,38285
70394,1148,171,6189,1821,1107,5,38283
70368,1148,172,6183,1820,1108,6,38270
70406,1148,171,6174,1821,1105,6,38235
70381,1148,171,6191,1821,1112,5,38286
77265,1148,171,6190,1821,1106,6,38279
70355,1148,172,6191,1821,1106,5,38261
75923,1148,171,6191,1820,1110,5,38267
79812,1148,171,6191,1821,1110,5,38283
70381,1148,172,6172,1821,1107,5,38260
70356,1147,172,6191,1821,1109,6,38215
70405,1148,171,6178,1821,1110,6,38261
70316,1149,171,6191,1820,1110,6,38260
77253,1148,172,6174,1821,1107,6,38263
70382,1147,171,6191,1821,1107,6,38255
70419,1148,171,6189,1821,1110,6,38282
75973,1148,172,6191,1820,1110,6,38285
70407,1148,171,6178,1821,1112,5,38249
70343,1148,171,6181,1820,1111,5,38263
70355,1147,172,6191,1821,1109,5,38275
70318,1148,172,6176,1820,1107,6,38241
77228,1148,171,6191,1820,1107,6,38241
79786,1147,173,6192,1820,1107,6,38260
70457,1148,171,6173,1820,1108,5,38255
70458,1148,171,6191,1820,1105,6,38241
70419,1148,172,6191,1820,1107,6,38254
75985,1147,171,6191,1821,1109,5,38252
70293,1147,172,6167,1821,1105,6,38251
70291,1148,171,6191,1820,1113,6,38254
77253,1148,171,6191,1821,1106,5,38281
75847,1147,172,6182,1821,1104,5,38250
70432,1148,171,6185,1820,1105,5,38262
70482,1147,171,6191,1820,1112,6,38289
70393,1147,171,6191,1821,1107,6,38283
