TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
90483,1148,171,6191,1821,1108,6,38278
70432,1147,172,6191,1821,1108,6,38279
70444,1147,171,6191,1821,1108,6,38266
70294,1148,172,6191,1820,1107,5,38277
70356,1148,171,6191,1821,1104,5,38269
70306,1147,172,6187,1820,1105,6,38267
70304,1148,172,6192,1820,1108,6,38268
77227,1148,172,6191,1821,1106,6,38256
70356,1148,171,6191,1821,1107,6,38249
70457,1148,171,6191,1820,1108,5,38280
70418,1147,172,6192,1820,1107,6,38259
85304,1148,172,6177,1821,1108,6,38246
70407,1147,171,6189,1820,1108,6,38276
70304,1147,172,6191,1820,1108,6,38272
70306,1147,171,6176,1821,1108,6,38261
77213,1148,172,6170,1820,1107,6,38235
70355,1148,172,6183,1821,1109,6,38260
70395,1148,171,6191,1821,1108,6,38251
70457,1147,171,6191,1821,1105,5,38240
70418,1149,171,6180,1821,1105,5,38249
70493,1148,172,6191,1820,1108,6,38259
75822,1147,171,6191,1820,1105,5,38262
70355,1148,172,6191,1821,1108,5,38259
77215,1148,171,6191,1820,1106,6,38254
79700,1147,171,6188,1820,1108,6,38254
70443,1148,171,6191,1820,1107,6,38255
70394,1148,172,6172,1821,1108,6,38241
70407,1148,171,6191,1820,1108,6,38254
70383,1148,171,6187,1820,1107,6,38275
70341,1148,172,6191,1821,1110,6,38270
75633,1149,171,6191,1821,1108,6,38278
77314,1148,172,6191,1820,1106,6,38255
70381,1148,172,6191,1821,1106,6,38267
70357,1148,172,6168,1821,1106,6,38232
70381,1148,172,6192,1820,1106,6,38268
70382,1148,171,6191,1821,1107,5,38264
70368,1148,172,6176,1821,1107,6,38252
79624,1147,172,6191,1821,1106,5,38262
79736,1147,172,6191,1820,1107,6,38248
77251,1149,171,6181,1820,1110,6,38266
75835,1148,171,6191,1821,1109,5,38264
70444,1149,171,6192,1820,1107,6,38264
70395,1148,171,6183,1820,1109,6,38248
70370,1148,172,6191,1821,1107,5,38277
70356,1147,172,6169,1821,1109,6,38241
70367,1148,172,6172,1820,1108,6,38257
70317,1147,171,6184,1820,1107,5,38264
77241,1148,172,6191,1820,1108,6,38273
70367,1149,171,6181,1820,1108,6,38271
70420,1147,171,6191,1821,1107,6,38259
70431,1148,171,6185,1821,1109,6,38261
85517,1147,172,6191,1821,1107,6,38255
70355,1148,172,6192,1820,1107,6,38278
70355,1148,172,6174,1820,1106,5,38243
70305,1147,171,6176,1820,1106,5,38257
77239,1149,171,6172,1820,1107,5,38238
70443,1147,171,6191,1821,1106,6,38275
70445,1147,171,6191,1821,1109,6,38278
70421,1148,171,6191,1821,1108,6,38256
70419,1148,172,6178,1820,1110,5,38274
81251,1148,172,6191,1821,1108,6,38267
70355,1147,171,6191,1821,1107,6,38274
70404,1147,171,6191,1821,1104,6,38238
77139,1148,172,6191,1821,1108,6,38264
70330,1148,171,6191,1820,1105,5,38248
79863,1147,171,6175,1820,1107,6,38252
70407,1148,172,6192,1820,1108,6,38276
70406,1148,171,6190,1821,1106,6,38273
70393,1148,172,6192,1820,1109,6,38277
70355,1148,171,6185,1821,1108,6,38237
75883,1147,173,6183,1821,1109,6,38252
77265,1148,172,6191,1820,1105,6,38263
70330,1148,171,6169,1820,1109,5,38252
70381,1147,172,6192,1819,1104,5,38271
70433,1147,171,6191,1820,1107,6,38273
70445,1148,171,6191,1821,1107,5,38252
70469,1148,171,6191,1820,1107,6,38249
70379,1148,172,6190,1820,1106,6,38250
79761,1149,171,6182,1820,1109,6,38265
77303,1148,171,6184,1821,1107,5,38241
75847,1148,172,6191,1821,1106,5,38246
70444,1148,171,6184,1821,1107,6,38254
70382,1148,172,6187,1821,1107,5,38253
70382,1147,171,6191,1821,1108,6,38261
70368,1147,172,6192,1820,1108,6,38279
70305,1147,171,6175,1821,1107,6,38246
70317,1148,172,6191,1821,1106,5,38272
77239,1148,172,6191,1820,1109,6,38259
70356,1148,171,6191,1820,1106,5,38276
70420,1148,172,6191,1820,1107,6,38254
75948,1148,172,6174,1821,1104,5,38256
70445,1147,171,6191,1821,1110,6,38269
79688,1147,172,6167,1821,1108,6,38251
79575,1147,171,6188,1821,1107,5,38246
70229,1148,172,6191,1820,1108,6,38275
77153,1148,171,6191,1821,1105,5,38272
70267,1149,171,6192,1820,1106,6,38246
70331,1148,171,6173,1821,1106,5,38243
70345,1148,172,6191,1820,1107,6,38269
70394,1147,172,6191,1820,1106,6,38251
75934,1147,171,6192,1821,1108,6,38281
70368,1148,171,6191,1820,1106,6,38257
70229,1148,172,6172,1821,1107,6,38238
77127,1147,172,6191,1821,1106,5,38225
70255,1147,173,6192,1820,1107,6,38277
79651,1148,171,6183,1820,1106,6,38244
70370,1148,171,6191,1820,1105,5,38252
70369,1147,171,6168,1821,1109,6,38246
70405,1148,172,6192,1820,1106,6,38274
70356,1148,171,6191,1820,1107,6,38250
75797,1148,172,6173,1820,1106,6,38255
77228,1148,171,6191,1820,1107,6,38269
70293,1148,172,6191,1821,1106,5,38257
70330,1148,172,6191,1821,1108,6,38267
70395,1148,171,6191,1821,1106,5,38246
70395,1147,171,6167,1820,1108,5,38226
70331,1148,171,6182,1820,1108,5,38248
70280,1148,172,6185,1821,1108,6,38251
70294,1147,171,6191,1820,1105,6,38274
96953,1148,172,6191,1820,1107,6,38250
70417,1147,171,6191,1820,1108,6,38267
70494,1149,171,6181,1820,1108,5,38251
70431,1148,172,6191,1821,1110,5,38280
70382,1147,171,6191,1821,1106,5,38264
70407,1148,172,6191,1820,1107,6,38249
70317,1148,172,6192,1820,1108,5,38243
70330,1148,171,6191,1820,1109,6,38276
77278,1147,172,6191,1820,1106,6,38272
70356,1147,171,6191,1821,1108,6,38271
70405,1148,172,6172,1820,1106,5,38239
75886,1147,171,6192,1820,1107,6,38238
70431,1148,172,6172,1820,1106,6,38242
79725,1147,171,6191,1821,1107,6,38273
70355,1148,172,6186,1821,1106,6,38258
70355,1148,172,6191,1821,1106,5,38274
77227,1147,172,6191,1821,1107,6,38271
70405,1148,171,6191,1820,1106,5,38274
70445,1147,172,6192,1821,1106,6,38260
70419,1147,171,6191,1821,1108,5,38254
70418,1148,171,6181,1820,1109,6,38270
75873,1147,171,6191,1821,1105,5,38237
70354,1147,172,6192,1820,1110,6,38257
70305,1148,172,6191,1821,1109,5,38279
77204,1148,171,6191,1820,1106,5,38277
70330,1147,172,6192,1820,1108,6,38271
70482,1148,171,6191,1820,1108,6,38277
79789,1148,172,6183,1821,1107,6,38260
70407,1148,172,6175,1821,1106,6,38249
70431,1147,172,6167,1820,1109,6,38252
75921,1147,171,6191,1820,1105,5,38250
79688,1147,171,6191,1821,1105,6,38265
77266,1148,171,6191,1820,1108,6,38271
70342,1148,172,6181,1819,1107,6,38251
70382,1148,172,6191,1820,1106,6,38270
70420,1147,171,6191,1821,1108,5,38272
70394,1148,171,6191,1821,1107,6,38262
70356,1149,171,6191,1820,1108,5,38262
70316,1147,171,6192,1821,1110,6,38278
70331,1148,172,6191,1821,1108,6,38284
92051,1147,171,6174,1820,1109,6,38265
70369,1148,171,6191,1821,1104,5,38254
70382,1147,171,6179,1821,1108,6,38260
70419,1148,172,6191,1820,1109,6,38274
70383,1148,171,6173,1821,1108,6,38247
70408,1147,171,6191,1821,1107,6,38213
70304,1148,172,6191,1821,1110,6,38267
70330,1148,171,6173,1821,1106,6,38243
77240,1148,172,6192,1821,1107,6,38275
70406,1148,172,6188,1820,1109,6,38275
70431,1148,172,6192,1820,1106,5,38281
76035,1147,172,6191,1821,1109,5,38265
70432,1148,171,6168,1821,1107,5,38244
79749,1148,172,6191,1821,1107,5,38267
