TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
79575,1172,265,6166,1819,1101,18
79575,1172,7202,6167,1819,1102,16
79575,1172,306,6166,1819,1101,18
79575,1172,307,6167,1819,1100,17
70369,1173,264,6167,1819,1102,16
70369,1173,7199,6166,1819,1103,18
70369,1173,315,6167,1818,1104,18
70369,1173,313,6166,1819,1101,17
75810,1172,265,6167,1819,1103,15
75810,1172,7201,6167,1819,1102,16
75810,1172,306,6166,1819,1101,16
75810,1172,306,6167,1819,1103,17
79575,1172,264,6166,1818,1101,17
79575,1172,7205,6166,1819,1102,18
79575,1172,315,6166,1819,1104,16
79575,1172,312,6167,1819,1103,17
70332,1172,264,6167,1819,1103,16
70332,1172,7202,6167,1818,1103,17
70332,1172,315,6166,1819,1103,17
70332,1172,313,6166,1819,1103,17
70344,1172,264,6167,1818,1102,16
70344,1172,7207,6166,1819,1103,16
70344,1172,305,6166,1818,1102,16
70344,1172,305,6168,1818,1102,18
70330,1172,265,6167,1819,1104,18
70330,1172,7202,6167,1819,1101,15
70330,1172,307,6166,1819,1103,16
70330,1172,304,6167,1819,1104,18
86484,1173,264,6167,1819,1101,17
86484,1173,7205,6167,1819,1104,17
86484,1173,313,6167,1819,1102,17
86484,1173,305,6167,1819,1103,17
70380,1171,264,6167,1819,1104,16
70380,1171,7204,6167,1818,1102,16
70380,1171,306,6166,1818,1102,18
70380,1171,306,6167,1819,1102,17
70369,1172,264,6167,1818,1103,18
70369,1172,7207,6166,1819,1104,16
70369,1172,313,6167,1819,1103,16
70369,1172,305,6167,1818,1102,18
69093,1171,264,6167,1819,1101,18
69093,1171,7203,6166,1819,1102,18
69093,1171,314,6166,1819,1102,18
69093,1171,2091,6166,1818,1102,17
75835,1172,264,6166,1818,1102,16
75835,1172,7202,6167,1819,1102,16
75835,1172,306,6166,1818,1102,16
75835,1172,306,6166,1819,1101,17
70307,1172,264,6167,1819,1102,16
70307,1172,7202,6168,1818,1102,15
70307,1172,306,6167,1819,1102,16
70307,1172,306,6166,1819,1102,17
70369,1172,264,6167,1818,1101,18
70369,1172,7202,6167,1819,1104,17
70369,1172,313,6166,1819,1101,18
70369,1172,307,6168,1818,1103,17
70279,1172,265,6167,1819,1104,16
70279,1172,7201,6167,1819,1103,16
70279,1172,306,6166,1819,1101,17
70279,1172,2100,6168,1818,1104,18
77203,1171,264,6167,1819,1103,17
77203,1171,7203,6166,1819,1103,18
77203,1171,314,6167,1819,1103,16
77203,1171,305,6166,1819,1101,18
70355,1173,264,6167,1819,1102,18
70355,1173,7205,6166,1818,1102,17
70355,1173,306,6168,1818,1103,18
70355,1173,306,6167,1819,1103,18
70357,1172,264,6166,1819,1103,16
70357,1172,7202,6167,1818,1101,16
70357,1172,307,6167,1819,1103,16
70357,1172,306,6167,1819,1102,18
75748,1172,265,6167,1819,1101,17
75748,1172,7201,6166,1819,1101,15
75748,1172,2092,6166,1819,1102,16
75748,1172,306,6167,1819,1101,18
67919,1172,264,6167,1819,1102,17
67919,1172,7206,6166,1819,1103,18
67919,1172,314,6167,1819,1103,17
67919,1172,306,6167,1818,1102,19
75660,1172,264,6167,1819,1101,16
75660,1172,7206,6166,1819,1104,16
75660,1172,313,6167,1819,1101,16
75660,1172,306,6166,1819,1101,17
70269,1172,264,6167,1819,1103,18
70269,1172,7204,6167,1818,1102,18
70269,1172,315,6167,1819,1103,16
70269,1172,306,6167,1819,1102,18
70331,1172,264,6167,1818,1102,15
70331,1172,8987,6168,1818,1104,18
70331,1172,313,6166,1819,1102,18
70331,1172,306,6167,1819,1103,17
77202,1172,264,6167,1819,1102,18
77202,1172,7205,6166,1819,1103,16
77202,1172,305,6166,1819,1102,15
77202,1172,305,6167,1819,1104,17
70456,1172,265,6167,1819,1104,17
70456,1172,7207,6167,1819,1103,18
70456,1172,314,6167,1819,1103,15
70456,1172,305,6167,1819,1101,18
79664,1171,264,6166,1818,1103,16
79664,1171,7204,6167,1819,1103,16
79664,1171,305,6166,1819,1103,17
79664,1171,314,6167,1819,1101,17
70420,1172,264,6166,1819,1102,18
70420,1172,8994,6166,1819,1103,16
70420,1172,313,6166,1819,1104,15
70420,1172,304,6167,1818,1103,16
70356,1171,264,6167,1819,1103,17
70356,1171,7203,6167,1819,1103,18
70356,1171,314,6166,1819,1103,17
70356,1171,314,6166,1819,1102,18
67755,1172,264,6166,1819,1102,15
67755,1172,7204,6166,1819,1102,16
67755,1172,305,6166,1819,1102,17
67755,1172,305,6168,1818,1101,18
75734,1173,264,6166,1819,1102,18
75734,1173,7208,6167,1819,1102,18
75734,1173,307,6167,1819,1102,16
75734,1173,306,6166,1819,1101,18
79312,1172,263,6166,1819,1102,17
79312,1172,7201,6166,1819,1101,17
79312,1172,306,6167,1819,1103,18
79312,1172,306,6167,1819,1101,18
77141,1172,264,6167,1819,1102,15
77141,1172,7205,6167,1819,1103,16
77141,1172,304,6166,1818,1101,16
77141,1172,306,6167,1819,1102,18
70307,1172,264,6167,1819,1103,18
70307,1172,7201,6168,1818,1104,17
70307,1172,313,6166,1818,1102,16
70307,1172,306,6167,1819,1102,17
70295,1172,264,6168,1818,1103,17
70295,1172,7205,6167,1819,1102,18
70295,1172,315,6167,1819,1105,17
70295,1172,313,6166,1818,1103,18
79637,1172,265,6167,1819,1101,18
79637,1172,7206,6167,1819,1104,16
79637,1172,313,6167,1818,1103,16
79637,1172,305,6167,1819,1103,17
70395,1171,264,6166,1819,1102,18
70395,1171,7208,6167,1818,1103,17
70395,1171,313,6166,1819,1103,17
70395,1171,305,6167,1819,1102,17
70345,1172,264,6168,1818,1103,15
70345,1172,7205,6166,1819,1104,15
70345,1172,304,6167,1819,1103,16
70345,1172,306,6167,1819,1102,18
67878,1172,264,6167,1819,1102,17
67878,1172,7204,6167,1818,1104,16
67878,1172,305,6167,1819,1102,16
67878,1172,2091,6166,1819,1103,17
75385,1172,264,6166,1819,1101,16
75385,1172,7204,6167,1818,1102,17
75385,1172,313,6166,1819,1101,18
75385,1172,307,6167,1819,1101,18
77229,1172,264,6167,1818,1103,16
77229,1172,7203,6167,1819,1103,16
77229,1172,305,6166,1819,1102,17
77229,1172,306,6168,1818,1103,17
70393,1172,265,6167,1819,1102,17
70393,1172,7201,6166,1819,1103,17
70393,1172,313,6167,1819,1103,16
70393,1172,305,6167,1819,1101,17
70332,1172,264,6166,1819,1102,17
70332,1172,7201,6166,1818,1103,18
70332,1172,2099,6168,1818,1103,17
70332,1172,313,6167,1819,1102,17
70357,1172,264,6166,1819,1102,16
70357,1172,7204,6167,1819,1104,15
70357,1172,312,6166,1819,1102,18
70357,1172,306,6166,1819,1102,18
70384,1171,263,6166,1819,1103,17
70384,1171,7202,6166,1819,1103,18
70384,1171,313,6166,1819,1103,16
70384,1171,306,6167,1818,1102,18
70369,1172,265,6167,1819,1102,16
70369,1172,7200,6167,1819,1103,18
70369,1172,314,6167,1819,1102,16
70369,1172,306,6167,1819,1101,16
70305,1173,264,6166,1819,1102,17
70305,1173,7203,6166,1819,1103,16
70305,1173,2098,6167,1819,1102,15
70305,1173,306,6167,1819,1102,17
70267,1172,265,6167,1819,1104,17
70267,1172,7204,6166,1819,1102,17
70267,1172,314,6167,1818,1102,18
70267,1172,306,6167,1819,1101,17
77190,1172,264,6167,1819,1102,16
77190,1172,7199,6166,1819,1102,16
77190,1172,307,6166,1819,1102,17
77190,1172,306,6167,1819,1104,17
70307,1172,264,6167,1819,1103,18
70307,1172,7202,6167,1818,1101,17
70307,1172,315,6167,1819,1102,16
70307,1172,306,6167,1819,1102,17
70394,1171,264,6167,1818,1101,17
70394,1171,8994,6167,1818,1104,17
70394,1171,314,6167,1819,1103,17
70394,1171,305,6167,1819,1100,16
70357,1172,264,6167,1818,1104,15
70357,1172,7201,6166,1818,1102,16
70357,1172,306,6167,1819,1103,17
70357,1172,307,6166,1819,1102,17
70419,1172,264,6166,1819,1102,16
70419,1172,7202,6167,1819,1102,18
70419,1172,315,6167,1818,1102,16
70419,1172,306,6167,1819,1103,18
70420,1172,263,6166,1819,1102,17
70420,1172,7202,6167,1819,1104,17
70420,1172,313,6166,1819,1102,17
70420,1172,305,6166,1818,1103,18
79526,1172,264,6167,1818,1104,16
79526,1172,7203,6167,1819,1103,16
79526,1172,306,6166,1819,1102,17
79526,1172,314,6167,1818,1102,17
75859,1172,264,6167,1819,1102,18
75859,1172,7204,6168,1818,1103,18
75859,1172,314,6166,1819,1103,16
75859,1172,306,6167,1819,1103,17
77228,1172,264,6166,1819,1103,16
77228,1172,7205,6166,1819,1100,18
77228,1172,308,6166,1819,1103,18
77228,1172,314,6167,1818,1102,18
70330,1172,265,6167,1819,1104,16
70330,1172,7202,6166,1819,1102,16
70330,1172,306,6166,1818,1102,16
70330,1172,306,6167,1819,1102,17
79576,1172,263,6166,1819,1102,17
79576,1172,7206,6166,1819,1103,17
79576,1172,313,6168,1818,1104,16
79576,1172,304,6166,1819,1102,17
70457,1172,264,6166,1819,1101,16
70457,1172,7200,6167,1819,1102,18
70457,1172,315,6167,1819,1102,18
70457,1172,307,6167,1819,1102,17
70408,1172,264,6168,1818,1102,16
70408,1172,7205,6167,1819,1103,16
70408,1172,305,6166,1819,1102,16
70408,1172,306,6167,1819,1103,18
70393,1172,264,6167,1819,1103,17
70393,1172,7208,6167,1819,1104,18
70393,1172,314,6167,1819,1104,17
70393,1172,2098,6167,1819,1103,18
70355,1173,264,6167,1819,1103,16
70355,1173,7204,6167,1819,1103,17
70355,1173,315,6166,1819,1102,17
70355,1173,313,6166,1818,1103,18
70319,1172,264,6167,1819,1101,16
70319,1172,7206,6168,1818,1104,16
70319,1172,305,6167,1819,1102,16
70319,1172,307,6166,1819,1103,18
82633,1172,265,6167,1819,1103,17
82633,1172,7207,6167,1819,1102,18
82633,1172,307,6167,1818,1102,17
82633,1172,306,6166,1819,1103,17
70331,1173,264,6167,1819,1102,15
70331,1173,7203,6166,1819,1103,17
70331,1173,314,6167,1819,1103,18
70331,1173,2099,6166,1819,1101,18
70345,1171,263,6166,1818,1102,17
70345,1171,7207,6167,1819,1103,15
70345,1171,304,6166,1819,1102,15
70345,1171,305,6167,1819,1104,18
70357,1171,264,6166,1818,1103,17
70357,1171,7202,6167,1819,1103,18
70357,1171,313,6167,1819,1103,17
70357,1171,306,6167,1818,1103,16
70407,1172,265,6167,1819,1104,15
70407,1172,7203,6166,1819,1101,17
70407,1172,307,6167,1819,1104,17
70407,1172,312,6166,1819,1101,18
70331,1172,264,6166,1818,1103,18
70331,1172,7203,6166,1819,1103,16
70331,1172,2098,6167,1819,1102,16
70331,1172,306,6166,1819,1101,18
70317,1173,264,6167,1819,1103,18
70317,1173,7207,6167,1819,1104,18
70317,1173,314,6167,1819,1103,18
70317,1173,313,6166,1819,1102,18
70319,1172,264,6166,1819,1102,15
70319,1172,7206,6168,1818,1101,19
70319,1172,308,6167,1819,1103,18
70319,1172,314,6167,1819,1103,17
82808,1172,263,6166,1818,1101,18
82808,1172,7208,6166,1819,1101,16
82808,1172,307,6167,1819,1103,16
82808,1172,304,6167,1819,1102,17
70268,1172,264,6167,1819,1101,17
70268,1172,8992,6167,1819,1104,17
70268,1172,313,6168,1818,1101,17
70268,1172,307,6166,1819,1102,18
79639,1172,264,6167,1818,1103,16
79639,1172,7203,6166,1819,1102,17
79639,1172,314,6167,1819,1102,17
79639,1172,306,6167,1819,1103,17
70356,1172,265,6167,1819,1103,17
70356,1172,7203,6167,1819,1105,16
70356,1172,312,6167,1819,1102,16
70356,1172,306,6167,1819,1103,17
70382,1173,264,6167,1819,1104,17
70382,1173,7201,6167,1819,1103,18
70382,1173,314,6166,1819,1101,16
70382,1173,306,6166,1818,1101,17
70346,1172,264,6166,1818,1103,15
70346,1172,8990,6167,1819,1102,16
70346,1172,306,6167,1819,1101,18
70346,1172,308,6167,1819,1103,17
70356,1172,264,6167,1819,1101,18
70356,1172,7207,6167,1819,1102,16
70356,1172,306,6167,1819,1103,16
70356,1172,305,6167,1818,1101,17
70318,1172,264,6167,1818,1103,18
70318,1172,7207,6167,1819,1101,18
70318,1172,307,6166,1818,1102,17
70318,1172,307,6167,1819,1104,17
77227,1172,265,6167,1819,1102,16
77227,1172,7205,6167,1819,1103,15
77227,1172,305,6167,1819,1103,18
77227,1172,314,6166,1818,1102,18
84929,1172,264,6167,1819,1102,17
84929,1172,7201,6167,1819,1102,16
84929,1172,306,6167,1819,1102,16
84929,1172,306,6167,1818,1101,18
70395,1171,264,6167,1819,1102,18
70395,1171,7208,6167,1819,1102,17
70395,1171,314,6167,1819,1102,18
70395,1171,306,6167,1819,1102,18
70331,1173,264,6167,1819,1104,16
70331,1173,7201,6166,1819,1102,18
70331,1173,316,6167,1818,1103,18
70331,1173,306,6167,1819,1100,17
70369,1172,264,6166,1819,1102,16
70369,1172,7199,6167,1819,1103,16
70369,1172,314,6167,1819,1102,16
70369,1172,306,6167,1819,1101,18
79502,1172,264,6167,1819,1103,18
79502,1172,7202,6167,1819,1103,16
79502,1172,312,6166,1819,1101,16
79502,1172,307,6167,1818,1103,17
70308,1172,265,6167,1819,1102,16
70308,1172,7200,6166,1819,1102,17
70308,1172,306,6166,1818,1102,18
70308,1172,306,6167,1819,1102,18
70318,1172,265,6167,1819,1103,17
70318,1172,7207,6166,1819,1101,16
70318,1172,307,6168,1818,1103,16
70318,1172,305,6167,1819,1102,18
77278,1172,264,6167,1819,1103,16
77278,1172,7206,6166,1819,1101,18
77278,1172,307,6167,1819,1103,18
77278,1172,2100,6166,1819,1102,17
75785,1172,264,6167,1818,1104,16
75785,1172,7200,6167,1819,1102,16
75785,1172,306,6167,1819,1102,18
75785,1172,307,6167,1819,1101,17
70231,1172,265,6167,1819,1103,17
70231,1172,7207,6167,1819,1103,18
70231,1172,314,6167,1819,1103,16
70231,1172,305,6166,1819,1101,18
70331,1172,264,6166,1819,1104,17
70331,1172,7201,6167,1819,1102,18
70331,1172,307,6167,1818,1101,17
70331,1172,307,6167,1819,1102,18
70257,1172,264,6167,1819,1102,15
70257,1172,7199,6167,1819,1104,16
70257,1172,2099,6168,1818,1103,17
70257,1172,313,6167,1819,1102,17
70295,1172,264,6167,1819,1101,17
70295,1172,7206,6166,1819,1102,15
70295,1172,305,6167,1819,1103,16
70295,1172,306,6166,1819,1102,18
70295,1172,264,6167,1819,1104,18
70295,1172,7203,6168,1818,1104,17
70295,1172,313,6167,1819,1101,16
70295,1172,307,6167,1819,1100,17
70293,1172,264,6167,1818,1103,16
70293,1172,7205,6166,1818,1103,15
70293,1172,304,6167,1819,1103,18
70293,1172,306,6167,1818,1103,17
77216,1172,265,6167,1819,1103,17
77216,1172,7207,6167,1819,1103,16
77216,1172,2091,6167,1819,1102,16
77216,1172,306,6167,1819,1101,19
75860,1172,264,6167,1819,1104,18
75860,1172,7202,6167,1819,1103,17
75860,1172,314,6167,1819,1102,17
75860,1172,307,6167,1819,1103,18
70320,1172,264,6167,1819,1101,15
70320,1172,7205,6166,1819,1101,16
70320,1172,306,6166,1819,1103,18
70320,1172,306,6168,1818,1101,18
70406,1172,265,6167,1819,1103,16
70406,1172,7205,6167,1819,1105,16
70406,1172,312,6168,1818,1102,15
70406,1172,306,6167,1819,1101,18
70383,1172,264,6167,1819,1103,17
70383,1172,8989,6167,1819,1102,17
70383,1172,306,6168,1818,1102,16
70383,1172,306,6166,1819,1102,18
70419,1171,264,6166,1819,1102,16
70419,1171,7202,6167,1819,1102,17
70419,1171,314,6167,1819,1104,18
70419,1171,313,6167,1819,1103,18
70306,1172,264,6167,1819,1103,16
70306,1172,7202,6167,1819,1103,16
70306,1172,313,6166,1819,1102,16
70306,1172,306,6168,1818,1101,18
70292,1171,264,6167,1819,1104,17
70292,1171,7205,6166,1819,1101,18
70292,1171,307,6167,1819,1101,16
70292,1171,307,6166,1819,1104,17
86408,1171,264,6167,1819,1101,17
86408,1171,7201,6166,1819,1103,17
86408,1171,313,6166,1818,1101,17
86408,1171,307,6166,1819,1102,17
70344,1173,264,6167,1819,1102,16
70344,1173,7199,6167,1819,1102,16
70344,1173,307,6166,1819,1102,18
70344,1173,314,6167,1819,1100,17
75724,1172,264,6167,1818,1102,18
75724,1172,7209,6166,1819,1101,16
75724,1172,307,6167,1819,1104,16
75724,1172,305,6166,1819,1102,18
70332,1172,264,6166,1819,1102,18
70332,1172,7203,6167,1819,1102,17
70332,1172,306,6167,1818,1102,18
70332,1172,306,6167,1819,1101,18
79488,1173,264,6167,1819,1105,16
79488,1173,7204,6166,1819,1103,17
79488,1173,314,6166,1819,1102,18
79488,1173,306,6167,1819,1102,18
70382,1172,264,6167,1819,1101,18
70382,1172,7206,6166,1818,1104,16
70382,1172,312,6166,1819,1102,16
70382,1172,305,6167,1819,1103,18
70299,1172,264,6168,1818,1104,18
70299,1172,7209,6166,1819,1102,18
70299,1172,307,6166,1819,1103,16
70299,1172,306,6166,1819,1102,18
70292,1172,265,6167,1819,1102,16
70292,1172,7199,6166,1819,1100,18
70292,1172,308,6167,1819,1102,18
70292,1172,2101,6167,1819,1102,17
77214,1172,265,6167,1819,1103,17
77214,1172,7209,6167,1819,1103,16
77214,1172,305,6167,1819,1102,16
77214,1172,306,6167,1819,1102,17
70417,1172,264,6167,1819,1102,16
70417,1172,7203,6167,1819,1102,16
70417,1172,307,6167,1819,1102,16
70417,1172,305,6167,1819,1104,17
70357,1171,264,6167,1819,1102,17
70357,1171,7204,6167,1818,1105,18
70357,1171,312,6167,1819,1104,17
70357,1171,314,6167,1819,1102,17
75936,1171,263,6166,1819,1103,16
75936,1171,7205,6167,1819,1102,16
75936,1171,305,6166,1819,1101,18
75936,1171,2092,6166,1819,1101,18
70394,1172,264,6167,1819,1102,18
70394,1172,7201,6168,1818,1101,17
70394,1172,307,6167,1819,1103,16
70394,1172,305,6166,1819,1102,17
70332,1172,264,6167,1818,1102,18
70332,1172,7201,6167,1819,1100,17
70332,1172,307,6167,1819,1102,18
70332,1172,307,6168,1818,1104,17
70280,1172,265,6167,1819,1102,16
70280,1172,7202,6166,1819,1102,17
70280,1172,314,6167,1819,1103,17
70280,1172,305,6167,1819,1101,17
70280,1171,264,6167,1819,1101,16
70280,1171,7202,6166,1819,1103,16
70280,1171,2091,6166,1819,1102,15
70280,1171,306,6167,1819,1101,17
77678,1171,264,6166,1819,1102,17
77678,1171,7205,6167,1819,1102,17
77678,1171,306,6167,1819,1102,16
77678,1171,307,6167,1819,1102,17
75597,1172,265,6167,1819,1103,16
75597,1172,7204,6167,1819,1105,17
75597,1172,312,6166,1819,1103,18
75597,1172,314,6167,1819,1102,18
70380,1173,264,6167,1819,1104,16
70380,1173,7204,6167,1819,1102,16
70380,1173,306,6166,1819,1101,16
70380,1173,306,6167,1819,1102,17
85257,1172,264,6167,1819,1101,18
85257,1172,8988,6166,1819,1102,15
85257,1172,306,6166,1819,1103,16
85257,1172,305,6167,1819,1104,17
70345,1172,264,6166,1818,1101,18
70345,1172,7208,6167,1818,1104,17
70345,1172,313,6167,1819,1102,18
70345,1172,306,6167,1819,1102,18
70331,1171,264,6167,1819,1103,15
70331,1171,7201,6167,1819,1103,15
70331,1171,305,6166,1819,1102,17
70331,1171,306,6168,1818,1105,18
70267,1172,265,6167,1819,1102,17
70267,1172,7205,6167,1819,1104,16
70267,1172,305,6167,1819,1104,16
70267,1172,304,6166,1819,1102,17
70281,1172,265,6167,1819,1104,17
70281,1172,8993,6166,1819,1103,17
70281,1172,314,6166,1819,1101,16
70281,1172,307,6166,1819,1103,17
77202,1171,264,6167,1819,1102,16
77202,1171,7204,6167,1819,1102,18
77202,1171,315,6167,1819,1102,17
77202,1171,306,6167,1819,1100,17
70330,1173,264,6167,1819,1102,15
70330,1173,7203,6167,1819,1104,15
70330,1173,312,6166,1818,1101,17
70330,1173,307,6167,1819,1104,18
70396,1172,264,6167,1819,1101,17
70396,1172,7209,6167,1819,1103,18
70396,1172,313,6166,1819,1102,16
70396,1172,306,6167,1819,1101,18
84954,1172,264,6166,1819,1102,16
84954,1172,7200,6166,1819,1102,16
84954,1172,307,6167,1819,1102,17
84954,1172,314,6167,1819,1101,17
70320,1172,264,6167,1819,1103,15
70320,1172,7205,6168,1818,1103,16
70320,1172,306,6167,1819,1103,17
70320,1172,305,6167,1819,1101,18
70420,1172,264,6167,1818,1103,17
70420,1172,7209,6167,1819,1104,18
70420,1172,313,6167,1819,1103,16
70420,1172,306,6166,1819,1101,17
70267,1172,265,6167,1819,1101,15
70267,1172,7206,6167,1819,1104,16
70267,1172,312,6167,1818,1102,18
70267,1172,315,6167,1819,1103,17
79486,1172,264,6167,1819,1103,15
79486,1172,7206,6166,1818,1101,17
79486,1172,307,6167,1819,1101,17
79486,1172,306,6167,1819,1103,18
77204,1172,264,6167,1819,1103,18
77204,1172,7203,6167,1819,1104,16
77204,1172,305,6166,1819,1104,16
77204,1172,304,6166,1819,1100,18
70369,1171,263,6166,1819,1104,17
70369,1171,7207,6166,1819,1103,17
70369,1171,312,6167,1819,1102,18
70369,1171,306,6167,1818,1104,18
70457,1172,265,6167,1819,1103,16
70457,1172,7207,6166,1819,1101,16
70457,1172,307,6167,1819,1104,18
70457,1172,2100,6166,1819,1102,17
70382,1172,265,6166,1819,1103,18
70382,1172,7203,6166,1819,1102,16
70382,1172,306,6168,1818,1103,16
70382,1172,305,6167,1819,1101,18
75923,1172,265,6167,1819,1103,18
75923,1172,7201,6167,1819,1102,17
75923,1172,306,6167,1819,1102,17
75923,1172,306,6167,1819,1102,17
70306,1172,264,6166,1819,1103,15
70306,1172,7200,6167,1819,1103,15
70306,1172,306,6167,1818,1102,17
70306,1172,305,6166,1819,1103,17
70318,1171,263,6166,1819,1101,17
70318,1171,7209,6167,1819,1104,16
70318,1171,2098,6167,1819,1102,15
70318,1171,305,6167,1819,1101,16
70281,1172,264,6167,1819,1101,17
70281,1172,7203,6167,1819,1103,17
70281,1172,313,6166,1819,1103,16
70281,1172,305,6167,1819,1103,18
77192,1172,264,6167,1819,1103,16
77192,1172,7206,6168,1818,1101,17
77192,1172,308,6167,1819,1103,18
77192,1172,314,6167,1819,1102,17
70356,1172,264,6167,1818,1102,18
70356,1172,7204,6167,1819,1103,16
70356,1172,306,6167,1819,1102,16
70356,1172,306,6167,1818,1103,17
