TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
79624,1148,171,6191,1821,1104,17,38302
70370,1148,172,6176,1821,1105,17,38265
70369,1147,171,6191,1820,1108,17,38323
70381,1148,171,6191,1820,1109,18,38298
70404,1147,172,6191,1820,1106,17,38324
75609,1148,172,6192,1820,1111,18,38332
70318,1148,172,6191,1821,1107,18,38327
77191,1148,171,6191,1821,1107,17,38313
70305,1148,172,6191,1819,1109,18,38317
70356,1148,172,6191,1821,1106,17,38328
70407,1148,171,6173,1820,1109,17,38289
79839,1148,171,6191,1821,1105,17,38324
70357,1148,172,6191,1821,1108,17,38319
70317,1147,172,6191,1821,1108,17,38311
85102,1147,171,6184,1821,1107,18,38289
77240,1148,172,6191,1821,1107,18,38304
70355,1147,172,6189,1820,1108,17,38327
70343,1147,172,6191,1819,1103,19,38297
70356,1147,171,6191,1820,1109,18,38329
70357,1148,171,6191,1820,1106,19,38306
70344,1148,172,6191,1820,1106,18,38326
70291,1147,173,6191,1819,1107,18,38302
70355,1148,171,6191,1821,1105,19,38316
77265,1148,171,6191,1820,1106,18,38312
85354,1148,172,6192,1820,1109,18,38315
70420,1148,172,6191,1820,1107,19,38327
70357,1148,171,6175,1820,1107,18,38299
70408,1148,172,6191,1821,1108,19,38311
70332,1148,171,6192,1820,1109,19,38294
70341,1148,172,6192,1820,1106,18,38325
75658,1149,171,6171,1820,1106,17,38281
77202,1148,171,6175,1820,1105,17,38303
70369,1148,172,6191,1820,1105,17,38317
70382,1148,171,6191,1821,1108,19,38322
70368,1148,171,6192,1820,1109,17,38321
75947,1147,171,6191,1820,1104,18,38304
70380,1147,171,6191,1820,1106,18,38317
79661,1148,171,6192,1820,1109,18,38315
70367,1148,172,6172,1821,1106,18,38283
77190,1147,171,6191,1820,1106,18,38307
70318,1147,172,6189,1821,1110,17,38320
70368,1148,172,6192,1820,1105,18,38320
70381,1147,172,6192,1820,1105,19,38317
70381,1147,171,6175,1821,1108,17,38276
75834,1147,172,6191,1820,1107,18,38322
70330,1147,171,6175,1821,1108,17,38308
70329,1147,171,6187,1821,1109,17,38322
77327,1148,172,6191,1820,1105,18,38317
70280,1147,172,6173,1821,1109,17,38286
70357,1147,171,6191,1821,1105,17,38285
79714,1148,172,6187,1821,1110,17,38323
70369,1148,172,6168,1820,1109,18,38307
70355,1147,173,6192,1820,1108,18,38326
70304,1148,172,6191,1821,1107,18,38309
75797,1147,172,6191,1819,1104,17,38319
77341,1148,172,6184,1820,1108,18,38315
70306,1148,172,6186,1820,1107,17,38320
70345,1148,172,6168,1821,1111,17,38291
70407,1148,172,6191,1820,1109,18,38328
70356,1148,172,6191,1821,1106,17,38296
70344,1147,171,6191,1821,1105,18,38320
70293,1148,171,6179,1820,1107,17,38276
70317,1148,172,6181,1820,1106,17,38311
