RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,Predicted
41.248669,1698.789795,-4.237988,67.763832,7.694734,4.389878,33.778942,697.756897,7229.245605,7191.873535,7077.379883,960.937500,937.500000,984.375000,0
557.801270,311012.531250,-1.293810,21.441252,6.409785,2.718951,17.427891,143.211990,115366.859375,113259.710938,110477.398438,867.187500,843.750000,890.625000,0
1154.718018,1333547.750000,-0.372867,7.720977,4.494153,1.863931,8.376792,38.445503,260504.265625,256111.937500,252153.625000,1125.000000,2554.687500,703.125000,2
1405.750244,1976887.375000,-0.185675,5.452548,4.226075,1.563628,6.608009,20.793949,427847.031250,403605.031250,360181.812500,726.562500,2929.687500,1171.875000,2
1377.999878,1899670.750000,0.023799,6.256997,4.838370,1.558560,7.540891,21.221191,412827.281250,302168.187500,301509.968750,2929.687500,2953.125000,1171.875000,2
1190.576660,1418079.625000,0.201823,5.717046,5.402007,1.500650,8.106520,22.025112,287660.562500,263225.687500,241239.468750,1476.562500,1054.687500,1546.875000,2
1248.147949,1558561.250000,-0.277559,6.321205,4.495482,1.577119,7.089911,23.228100,323579.531250,312560.656250,309580.343750,1101.562500,1453.125000,1078.125000,2
1197.903320,1435592.500000,0.131773,5.989379,5.414940,1.530711,8.288710,22.343807,363323.968750,358048.875000,270426.937500,2929.687500,1101.562500,1476.562500,2
1136.552856,1292340.500000,0.049484,5.313385,4.861320,1.509243,7.336914,20.228613,347715.281250,301838.625000,301701.437500,2929.687500,2953.125000,1453.125000,2
1170.967529,1371805.250000,0.055230,6.278440,5.045363,1.579871,7.971023,22.914852,387198.937500,314278.406250,312486.125000,1476.562500,2929.687500,1453.125000,2
1141.459595,1303563.250000,-0.173275,5.740583,4.160600,1.534318,6.383686,19.649466,372233.187500,331912.968750,279124.000000,2929.687500,1476.562500,726.562500,2
1276.878784,1631214.875000,-0.273638,6.882027,4.371858,1.566294,6.847617,23.913660,363906.468750,359888.062500,311620.750000,1101.562500,2929.687500,1453.125000,2
1302.048828,1696131.500000,0.087941,5.733937,4.493656,1.558124,7.001676,20.892809,395324.125000,374856.156250,363870.593750,1101.562500,1078.125000,1476.562500,2
1143.386719,1307960.750000,-0.117913,4.539475,3.710431,1.472954,5.465293,17.526901,292751.562500,280572.437500,265333.812500,1101.562500,1476.562500,2929.687500,2
1167.083984,1362746.625000,0.155090,6.772574,5.253385,1.577197,8.285621,23.780945,290027.500000,280297.687500,265901.312500,1125.000000,1101.562500,2929.687500,2
1049.216431,1101391.750000,0.265870,5.089351,4.698766,1.499228,7.044520,17.658197,267460.625000,265347.437500,240497.312500,1453.125000,2929.687500,820.312500,2
1094.231689,1197927.875000,-0.156698,5.733208,3.978364,1.526300,6.072178,19.419353,362232.906250,276338.906250,242768.937500,2929.687500,796.875000,2953.125000,2
1136.269165,1291733.000000,-0.299887,5.062981,3.868070,1.511562,5.846828,17.481480,355701.500000,341815.468750,337034.500000,2929.687500,1476.562500,796.875000,2
1094.933472,1199466.875000,-0.085740,5.043055,4.952561,1.482637,7.342850,19.466904,403920.375000,299351.593750,290908.500000,1476.562500,2929.687500,796.875000,2
1180.045776,1393187.000000,-0.426933,9.121958,4.912488,1.603181,7.875606,26.790812,346449.468750,321662.562500,294433.343750,1476.562500,1453.125000,2929.687500,2
1091.795044,1192599.750000,-0.193486,5.582817,3.901710,1.520205,5.931400,19.361412,277110.031250,260504.703125,231780.031250,1078.125000,1289.062500,375.000000,2
1085.570923,1179038.000000,-0.045923,5.115610,4.280449,1.504314,6.439139,19.272423,278133.687500,266550.062500,261221.421875,375.000000,2953.125000,2929.687500,2
1131.567749,1281072.500000,-0.099350,5.607061,3.959243,1.539647,6.095835,19.836205,403760.625000,345941.250000,317626.343750,2929.687500,2953.125000,1476.562500,2
1051.335449,1105847.000000,-0.098284,5.530814,4.102226,1.494465,6.130635,20.752977,415203.093750,278609.031250,265138.937500,2929.687500,1101.562500,1476.562500,2
1070.527588,1146587.875000,0.139853,5.902071,5.816950,1.535295,8.930736,22.069675,368545.625000,351804.875000,326800.625000,2929.687500,1476.562500,1453.125000,2
1052.945801,1109231.625000,0.056614,5.470639,4.640919,1.528208,7.092291,20.171329,379491.343750,302482.781250,301482.625000,1476.562500,2929.687500,1453.125000,2
1011.872437,1024378.125000,-0.010478,5.482113,5.073088,1.505879,7.639456,20.487635,322285.781250,213365.781250,198484.015625,2929.687500,1476.562500,984.375000,2
1075.154175,1156517.250000,-0.057593,5.418293,4.588973,1.533756,7.038365,19.872299,340190.625000,272813.781250,246889.046875,2929.687500,1453.125000,1171.875000,2
1079.688721,1166295.250000,0.017877,5.834336,4.674930,1.519141,7.101880,21.028114,381555.156250,329165.062500,281897.281250,2929.687500,1476.562500,375.000000,2
1122.655029,1260968.875000,0.097776,5.938795,5.262012,1.534190,8.072927,21.035540,389633.187500,343079.625000,334274.000000,2929.687500,1476.562500,1453.125000,2
1144.647217,1310853.375000,0.130232,6.095053,5.074275,1.552089,7.875728,21.641172,349615.468750,315789.906250,314562.812500,2929.687500,1453.125000,937.500000,2
1050.349976,1103763.625000,0.104495,4.636261,3.994951,1.480051,5.912731,16.876116,356599.593750,287022.125000,275890.875000,2929.687500,937.500000,1476.562500,2
1072.687012,1151216.750000,-0.064044,6.423272,4.369395,1.560779,6.819660,21.437031,317471.281250,266237.218750,245199.078125,2929.687500,1476.562500,937.500000,2
999.359375,999187.500000,0.295211,7.210648,6.980772,1.531188,10.688876,25.306513,241529.265625,234577.328125,224164.046875,1007.812500,2929.687500,937.500000,2
989.222595,979031.500000,0.080084,5.676718,5.046494,1.519830,7.669812,20.244577,303488.750000,251301.687500,247842.984375,1101.562500,1125.000000,1453.125000,2
1086.522217,1181108.750000,-0.171463,6.407339,4.301165,1.596177,6.865422,21.701693,347517.031250,324669.437500,320491.406250,1125.000000,1453.125000,1476.562500,2
992.269409,985078.062500,-0.236185,6.108637,4.360258,1.550259,6.759531,20.522348,305383.093750,295415.906250,260335.546875,1148.437500,2929.687500,1476.562500,2
946.755127,896781.625000,-0.098364,5.751925,4.046364,1.529491,6.188879,18.732725,328645.562500,269991.218750,262293.562500,2929.687500,1148.437500,2953.125000,2
1009.687073,1019965.500000,-0.152622,6.355760,4.735397,1.568786,7.428825,22.816319,382595.031250,296247.125000,262921.468750,2929.687500,2953.125000,1476.562500,2
929.285706,863991.500000,-0.131815,5.900699,5.033095,1.533845,7.719987,21.143265,305178.125000,248488.843750,211440.187500,2929.687500,375.000000,2953.125000,2
