RMS,Mean,Median,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FaultID
12.83190284532832,0.26801956201337895,-0.010265472307684122,164.66629961293108,0.2290704657388454,4.2009532689050095,3.575932388353803,1.3793417510834418,4.932432842307929,12.518799544652403,5416.316235642876,4915.825368649612,4821.86197827621,492.1875,117.1875,468.75,1
14.631416553624316,0.03638992971560118,0.06387201716704846,214.18160700148064,0.040312520861797985,3.9085818314230116,3.920359649396513,1.3522237704995848,5.301203506821383,13.033206827489927,8788.207653055259,8278.524252156263,6056.663625704658,93.75,70.3125,140.625,1
40.98897281428505,0.5131653976438852,0.4090206786338515,1680.653185082888,-0.45206970991870493,10.727933189138446,4.583768939751484,1.8927838533387131,8.676083836597122,32.37302204266227,22107.33214358209,20295.34461544034,20241.128152373425,445.3125,421.875,468.75,1
364.6259902032978,-0.5434109615710963,0.2151949662894446,133016.76702953846,-1.5721008438252728,10.127712951884973,2.3217580248696765,1.7761650195247483,4.12382538757439,23.516578441608623,236246.77771243957,197467.09869158332,143885.3211590702,140.625,117.1875,609.375,1
697.0823753108328,3.39991160991962,2.5520413442727445,486149.6563319184,-0.3737702164042037,3.9921328726216254,2.8788289135334892,1.3818185289387996,3.978019134365329,11.442472120609578,510859.20468196506,422963.3287494295,311374.186649001,445.3125,117.1875,562.5,1
646.6213271428114,-2.594270809221678,-0.08301132025018901,418316.6666597916,0.030416349629305256,3.525051511370927,2.9635499051279943,1.39892275596454,4.145777400720105,10.560040752459534,567760.0949269886,421980.35627795686,334543.5487295357,421.875,398.4375,515.625,1
490.67922940793676,4.7471224219363855,0.3096433159936595,240861.17899863576,0.0646229413689124,3.7355148014183968,2.9772110045843903,1.373734961365407,4.089898844359402,10.919028732298203,449808.9558631802,295019.4848516616,263917.0324947141,421.875,398.4375,515.625,1
197.5453301132899,-0.6864513891033077,-0.06491555375059202,39042.75007687006,0.13955407049595409,3.671659884266549,3.010966327532636,1.3858583032802918,4.172772685908471,9.638159539770907,179780.00526694086,118654.34128387745,78237.71841656513,398.4375,375.0,421.875,1
74.69018166045676,-1.0817994856155249,-3.782134552118369,5580.177642459435,0.29304944778563236,4.959739775488159,3.5195764071785844,1.492211331570153,5.25195179711885,13.533693461308362,55024.997420801636,42532.72366866751,33299.592767697206,421.875,398.4375,210.9375,1
61.861834496789996,-1.7309294527457473,-2.5713567469465897,3825.75849667881,0.20207312318426496,4.7090735896836176,3.3441310511582505,1.4684013657983699,4.910526602929513,13.978011105498062,41763.4711791043,31681.9720770789,27263.908410856,585.9375,609.375,562.5,1
46.9162916442246,-1.348966478047694,-2.0496799678100572,2200.3931217910426,0.38124097343389757,3.698176569497525,3.3518783968852133,1.3562503343327494,4.5459861964182915,10.868733504112361,16472.070025040033,14192.209860555227,13732.409532928892,867.1875,445.3125,1570.3125,1
349.87814507685624,2.8576338608613856,5.873403473628409,122466.34835279558,-1.7130655576251312,10.655057473454479,2.7815042622203054,1.7221173011761632,4.790076613264827,22.671374063865706,232813.767989668,156631.43395068042,152451.27656360273,117.1875,140.625,609.375,1
654.2301305560487,0.49754805434464844,-6.136325346400094,428225.9108563535,-0.011524759804906696,5.039924413098888,3.3357999540647603,1.480769162448229,4.939549704075316,13.60344270218929,426583.929922497,421284.1263654282,415871.42616468034,632.8125,421.875,609.375,1
569.399102040799,0.3412047638735878,-1.0410842857507006,324373.60653424286,0.04117551205247925,3.6866064822225013,2.7313297019376743,1.4194590202250577,3.8770105826240497,11.309985913494605,579573.430439775,427561.6709813224,248446.90139915838,421.875,398.4375,445.3125,1
582.1351227925584,-0.8425201185010565,-15.988014115040148,339046.1412222006,0.45513125700942203,4.712645078651483,3.343064071194927,1.4843635505928074,4.962322454578148,12.6764801546939,484478.9000956192,442298.63633322885,266787.4921009782,421.875,445.3125,539.0625,1
672.8293096090408,5.790887712693808,-4.359938785116748,452886.8816611637,0.4738407275892748,4.25344337328537,3.3063440341653982,1.4496819704263872,4.793147334356425,11.861332941843605,558144.362393884,436364.2376794188,298017.8301884463,445.3125,421.875,117.1875,1
468.8836956306822,-6.792179428249776,-8.438629822641087,219913.1658023901,0.25542246757336484,3.2857650547521744,2.6686043353042246,1.3515871349282271,3.606851287810883,9.179821289172455,406727.1064874737,252038.17664256334,219833.9965609043,421.875,445.3125,117.1875,1
350.75675847821515,2.7379749835080123,-0.2694986760942766,123082.90618642098,0.4362101443832837,3.635540268357051,2.8708521146964716,1.3780982870111027,3.956316381525409,9.67309007453706,256954.98606163968,224968.50781616324,170206.96433041283,398.4375,421.875,210.9375,1
125.80158196455979,0.9849474253684978,-0.38732123733540647,15832.798762125685,0.4442217039004315,4.962143617377396,3.8468480130104297,1.4991262436749127,5.766910811732627,13.86138140048486,84336.16124722859,72051.73044351395,67188.2043655918,210.9375,187.5,421.875,1
60.297368941000755,-0.534254577548243,-0.06642060606215891,3637.263280714818,-0.7136132662220591,6.5938623078139695,3.596043328649166,1.5319406315425077,5.5089248879450246,19.53338570936075,28976.969411432714,26500.168064141573,21292.293227002017,796.875,773.4375,1898.4375,1
329.2615031182164,3.342224622767958,-0.06210558081006367,108454.92347584166,0.18711219360877607,4.144802501941751,3.1110496284706435,1.5099219226380602,4.697442036442817,12.965313728320654,222669.41409466483,207710.70341974247,185550.50093790254,421.875,117.1875,398.4375,1
