RMS,Mean,Median,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FaultID
0.00043237434585204407,-2.9988132561337627e-05,2.770948045093296e-06,1.8613917512557094e-07,0.0012476567438860532,4.535142959076778,4.1071895262502816,1.4668052896247477,6.024447322595274,15.179327816486644,0.24970406065662426,0.20603671057971792,0.1608595501631966,70.3125,46.875,492.1875,0
0.0006358369014788511,3.903501694585078e-05,-1.1406752924970738e-06,4.029615913237768e-07,1.0155190166828771,5.100107401915722,4.611690219519055,1.4902706319113503,6.872666497622055,15.093594796928215,0.5358633956891221,0.4368796376429264,0.26701535841716995,46.875,70.3125,23.4375,0
0.0012837859572061689,-5.017761056675127e-05,-1.1250056080454335e-08,1.646392493902484e-06,-1.3869417364656358,12.015065126245105,4.618608623619458,1.960753330468148,9.055952240890761,33.339137834175844,0.6738915842362305,0.6194593167273196,0.6168660922089935,445.3125,421.875,468.75,0
0.011006894155841867,-1.5053985961502878e-05,-1.8304849270839214e-05,0.00012121067723640685,1.7451505690223161,9.196118225046645,4.990970125035765,1.7328215242814775,8.648460459707788,20.463871157354728,6.843545615917521,6.026107310852209,4.328518082059297,140.625,117.1875,609.375,0
0.021248801343162097,0.00017168084711234935,-0.0011448786198702573,0.00045170264213863383,1.2925386530700762,6.069424117060901,4.127431408527633,1.5334000431104315,6.329003499771621,14.667407171634881,15.49550906474275,12.915248543411593,9.447108535507342,445.3125,117.1875,562.5,0
0.01978330954293652,-5.447121806588387e-05,-0.0006566341938451733,0.00039156756445787855,0.67166571826618,4.195233816850627,3.185884820785942,1.4710451055824567,4.686580272566602,11.599577408867855,17.36164398691126,12.816633361635525,10.239817547666972,421.875,398.4375,515.625,0
0.015057613298256325,-0.0003151514452647686,-1.6684326512163544e-05,0.00022674311221663524,0.544523979554261,4.589293651856832,3.3740384793910487,1.4797012582743323,4.9925689834209495,12.487157060514159,13.784657063799377,8.966893710691147,8.019607743861787,421.875,398.4375,515.625,0
0.006096820762089506,-5.957580226733004e-06,-2.342813607207874e-06,3.7189346773012506e-05,-0.014508178699812904,3.767599690022985,2.9705723964662565,1.440543175620583,4.279237793416347,11.97509318977705,5.516638494558187,3.588483093656256,2.3445176388944584,398.4375,375.0,421.875,0
0.002367609148625606,-3.4695591774793616e-06,1.1046504520015001e-05,5.608299470290506e-06,0.12082127868499924,5.215266258526338,3.3905423183266326,1.5194815636625465,5.151866543514987,15.451730925847292,1.6853927893806169,1.2981204786617633,1.0178700810772332,421.875,398.4375,210.9375,0
0.0019392329953796968,1.2811325239689906e-05,3.3474985767833323e-06,3.762297539660451e-06,-0.31170345008600503,5.257991601357481,3.579080282019241,1.5229252882737379,5.450671870249004,17.052459492727927,1.2723900593793918,0.9699371783829959,0.8335322542269024,585.9375,609.375,562.5,0
0.0016308237560218554,-8.966707121982827e-05,-1.5235150151673955e-07,2.6528412721965303e-06,-0.4253541254400648,4.676474066391499,3.3741127582299404,1.4903083843425757,5.028468533307334,15.8191902775721,0.8919276493997819,0.6575362483258087,0.5075901283973555,46.875,23.4375,867.1875,0
0.010568598271513753,1.9411785837662623e-05,-0.00013191309632686982,0.0001117494577721419,1.9145479443430806,11.264225001186862,5.775448618205607,1.7787850956720497,10.273281922883868,23.931065330094263,6.857517053747089,4.795864444480574,4.630671365593062,117.1875,93.75,609.375,0
0.02002898345246152,-0.00015595466086393587,-7.65986445180021e-05,0.0004013318190850198,0.7184946130468889,5.5693449653211395,3.899876677420687,1.5583872173448392,6.077517963313662,15.495338765585489,13.059120230461794,12.923886540995241,12.668656722250455,632.8125,421.875,609.375,0
0.01741121441327589,0.0001878676236056066,8.668195400036855e-07,0.0003032631708211945,0.33796479229419973,4.421193632814724,3.7384839679154447,1.465864598386992,5.480111300204581,13.559987886608035,17.717293438999757,13.03537584313033,7.5566849558071425,421.875,398.4375,445.3125,0
0.017756463646553526,-5.901630366894552e-05,-3.4107264201751165e-05,0.0003154425429864708,0.43725960265161695,5.471742309976712,3.238599653827615,1.594109082031873,5.1626811212318815,15.106486795149284,14.72919893763988,13.531656531447782,8.11512364737312,421.875,445.3125,539.0625,0
0.020558853790473997,0.0001465545723318229,-0.000745056959518036,0.00042285146137554055,0.7315182412323794,5.518408058123834,3.8192294677754055,1.5681548489546935,5.989143209162655,15.809841941256822,17.054788907546786,13.278123106903259,9.19039355399444,445.3125,421.875,117.1875,0
0.014361989759450973,4.309516990003674e-05,-6.393233223677382e-05,0.00020636565713793025,0.45788182372667674,4.171000478795907,3.0586706384347693,1.4677897209643314,4.489485322909964,11.615106968901257,12.408664023871772,7.720946331039193,6.560091835720592,421.875,445.3125,117.1875,0
0.010757238400649521,-0.0001946614801115723,-1.627799148334613e-05,0.00011573679702449154,0.22443437903994645,5.147637492569441,3.5463327070258726,1.5343164858685028,5.441196736764471,14.557763328783857,7.8245022213192215,6.883635471590798,5.1763710768019635,398.4375,421.875,210.9375,0
0.003917131626302184,-0.00011604813901066658,8.979444822050211e-05,1.533794223681677e-05,-0.7510318166479304,5.335349859783459,3.097964282438427,1.5450754323359075,4.786588503049752,16.210737330073435,2.53968667447959,2.274649215113015,2.059699397096049,210.9375,187.5,421.875,0
0.001856619173029303,6.696201507361965e-05,1.2314254918156368e-06,3.4442325963947513e-06,0.3088953849962952,7.338974498806945,5.121582167660948,1.58746435007859,8.130329107159985,21.643743194934732,0.8860418791186048,0.807075276294563,0.6501149649870319,796.875,773.4375,1898.4375,0
