TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
70305,1171,675,6167,1819,1109,379
70305,1171,673,6167,1819,1110,379
70382,1172,264,6167,1819,1109,380
70382,1172,7571,6167,1819,1109,379
70382,1172,673,6167,1819,1104,379
70382,1172,676,6167,1819,1104,381
70369,1172,264,6166,1819,1103,379
70369,1172,7571,6167,1819,1105,379
70369,1172,675,6167,1819,1106,382
70369,1172,674,6167,1819,1106,382
70331,1172,265,6167,1819,1107,379
70331,1172,7570,6166,1818,1107,380
70331,1172,674,6167,1819,1108,380
70331,1172,672,6166,1819,1108,380
79515,1172,264,6167,1819,1110,382
79515,1172,7570,6166,1819,1106,380
79515,1172,675,6167,1819,1107,379
79515,1172,675,6167,1819,1107,381
70282,1172,264,6167,1819,1109,379
70282,1172,7567,6166,1819,1109,379
70282,1172,672,6167,1818,1107,380
70282,1172,674,6167,1819,1108,380
70367,1172,264,6167,1819,1108,381
70367,1172,7568,6167,1818,1106,380
70367,1172,675,6166,1818,1107,380
70367,1172,674,6167,1819,1108,379
77203,1172,264,6167,1818,1105,380
77203,1172,7564,6167,1819,1106,380
77203,1172,675,6166,1819,1106,379
77203,1172,2460,6168,1818,1106,380
70330,1172,264,6167,1819,1107,379
70330,1172,7564,6166,1819,1106,379
70330,1172,674,6167,1819,1108,381
70330,1172,674,6166,1819,1108,381
81164,1172,264,6167,1818,1107,379
81164,1172,7571,6167,1819,1107,379
81164,1172,674,6166,1819,1105,380
81164,1172,676,6166,1819,1105,380
70383,1171,263,6166,1819,1105,380
70383,1171,7564,6166,1818,1107,382
70383,1171,674,6167,1819,1109,379
70383,1171,671,6167,1818,1110,380
70382,1172,264,6167,1819,1109,380
70382,1172,7571,6167,1819,1107,379
70382,1172,2458,6167,1819,1109,382
70382,1172,671,6166,1819,1109,382
70357,1172,265,6167,1819,1110,378
70357,1172,7567,6167,1819,1111,380
70357,1172,670,6167,1819,1106,380
70357,1172,675,6166,1819,1107,379
70269,1172,264,6167,1819,1107,380
70269,1172,7572,6167,1819,1108,380
70269,1172,674,6166,1819,1106,379
70269,1172,675,6167,1818,1107,380
70268,1173,264,6167,1819,1108,379
70268,1173,7564,6166,1819,1108,379
70268,1173,673,6167,1819,1106,379
70268,1173,675,6166,1819,1104,380
77190,1172,264,6167,1818,1105,380
77190,1172,9356,6167,1819,1108,382
77190,1172,673,6167,1819,1109,382
77190,1172,672,6167,1819,1108,382
70306,1173,264,6167,1819,1109,379
70306,1173,7569,6167,1819,1107,380
70306,1173,673,6168,1818,1107,380
70306,1173,673,6166,1818,1107,381
75972,1171,264,6167,1819,1108,379
75972,1171,7570,6167,1819,1109,381
