TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
88756,1148,172,6192,1820,1101,380,39743
70418,1148,172,6191,1820,1101,380,39750
70369,1147,171,6191,1821,1103,380,39732
70481,1147,171,6173,1821,1103,381,39730
70368,1147,172,6173,1820,1103,380,39707
70316,1147,172,6192,1820,1101,380,39723
70329,1147,172,6178,1820,1104,379,39745
82770,1147,171,6191,1820,1103,380,39746
70381,1148,172,6191,1821,1101,381,39751
70419,1148,172,6191,1821,1102,380,39758
79776,1148,171,6191,1821,1102,381,39755
70393,1148,172,6191,1820,1102,380,39755
70406,1148,171,6191,1821,1102,380,39754
70318,1148,171,6186,1820,1102,380,39699
70331,1147,171,6191,1820,1103,380,39756
77239,1148,172,6191,1821,1101,381,39755
70342,1148,173,6192,1820,1103,380,39732
76022,1148,172,6191,1821,1102,380,39758
70494,1149,171,6179,1820,1100,379,39731
70394,1148,171,6191,1821,1102,380,39756
70406,1148,171,6184,1821,1102,381,39743
70317,1148,172,6183,1820,1102,380,39727
70367,1148,172,6181,1820,1104,380,39725
86722,1147,171,6191,1821,1104,379,39759
70405,1147,171,6191,1821,1101,380,39746
70457,1147,172,6192,1820,1102,380,39749
70419,1147,172,6191,1821,1103,380,39748
76125,1147,171,6191,1821,1102,379,39729
70408,1147,171,6175,1821,1101,380,39740
70255,1148,172,6175,1820,1101,381,39723
70343,1148,171,6191,1820,1101,380,39755
77214,1148,171,6191,1820,1101,380,39749
70430,1148,171,6191,1820,1101,380,39731
70394,1148,172,6177,1821,1102,379,39727
70407,1147,171,6191,1821,1103,381,39757
70407,1148,171,6191,1821,1102,381,39726
85129,1147,172,6191,1820,1101,381,39731
70355,1148,171,6191,1821,1104,381,39755
70354,1148,172,6192,1821,1101,380,39748
77214,1149,171,6179,1820,1103,380,39727
70368,1148,172,6191,1821,1102,380,39756
70382,1147,171,6175,1821,1101,380,39732
70431,1147,171,6191,1821,1102,380,39728
70393,1148,172,6191,1820,1102,380,39759
70381,1148,172,6177,1821,1102,380,39742
70331,1148,171,6190,1820,1101,380,39719
70330,1148,172,6191,1821,1101,381,39755
82543,1148,172,6170,1820,1104,380,39735
70430,1147,171,6191,1821,1102,379,39743
79726,1148,171,6191,1821,1101,381,39755
70393,1147,173,6192,1820,1104,380,39758
70393,1148,171,6191,1820,1103,380,39757
70381,1147,172,6191,1821,1104,380,39748
70330,1147,171,6191,1820,1102,381,39749
70292,1148,171,6191,1820,1102,381,39743
77251,1147,172,6192,1820,1102,380,39736
80225,1147,172,6191,1819,1103,380,39758
81102,1148,172,6192,1820,1103,380,39750
70432,1148,171,6191,1820,1102,380,39735
70308,1147,172,6191,1821,1103,379,39757
70357,1148,171,6191,1820,1104,381,39739
