TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
86255,1172,264,6167,1819,1101,381
86255,1172,7572,6166,1819,1101,379
86255,1172,671,6167,1819,1101,380
86255,1172,670,6167,1818,1101,380
70343,1173,264,6167,1819,1102,379
70343,1173,7572,6167,1819,1103,380
70343,1173,677,6166,1819,1103,381
70343,1173,678,6167,1819,1101,380
70394,1172,265,6167,1819,1103,380
70394,1172,7564,6166,1819,1102,381
70394,1172,670,6167,1819,1102,381
70394,1172,671,6167,1819,1103,380
79439,1172,264,6167,1819,1102,381
79439,1172,7568,6167,1819,1102,380
79439,1172,670,6167,1819,1104,381
79439,1172,677,6168,1818,1104,380
70332,1172,264,6167,1819,1103,380
70332,1172,7566,6166,1819,1102,379
70332,1172,669,6168,1818,1103,381
70332,1172,677,6166,1819,1103,380
70267,1171,264,6166,1819,1102,380
70267,1171,7569,6167,1819,1103,380
70267,1171,678,6166,1819,1103,381
70267,1171,669,6166,1818,1101,380
70268,1172,264,6166,1819,1103,381
70268,1172,7568,6166,1819,1101,379
70268,1172,671,6166,1819,1103,380
70268,1172,2462,6167,1819,1103,380
77190,1172,265,6167,1819,1101,380
77190,1172,7564,6167,1819,1104,380
77190,1172,676,6166,1819,1102,380
77190,1172,670,6167,1819,1103,379
70331,1172,264,6167,1819,1104,381
70331,1172,7565,6167,1819,1102,380
70331,1172,671,6167,1819,1102,380
70331,1172,669,6167,1818,1102,380
75836,1172,264,6166,1818,1103,380
75836,1172,7504,6167,1819,1104,380
75836,1172,676,6166,1819,1103,379
75836,1172,669,6167,1819,1102,379
70269,1172,264,6167,1819,1101,380
70269,1172,7568,6166,1819,1103,380
70269,1172,2455,6166,1818,1102,381
70269,1172,679,6167,1819,1102,381
70431,1171,264,6166,1819,1102,380
70431,1171,7570,6166,1818,1101,381
70431,1171,672,6166,1819,1102,380
70431,1171,669,6167,1819,1102,380
70282,1172,264,6167,1819,1102,381
70282,1172,7565,6167,1819,1102,379
70282,1172,671,6167,1819,1102,380
70282,1172,670,6167,1818,1102,380
70294,1172,264,6167,1819,1101,380
70294,1172,7572,6166,1819,1104,380
70294,1172,677,6167,1818,1101,381
70294,1172,672,6166,1819,1102,380
70306,1172,265,6167,1819,1103,380
70306,1172,9350,6167,1819,1103,380
70306,1172,670,6166,1819,1101,379
70306,1172,670,6166,1819,1102,379
