TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
86292,1172,264,6167,1819,1120,380
86292,1172,7564,6167,1819,1106,379
86292,1172,675,6168,1818,1108,379
86292,1172,673,6166,1819,1108,380
70381,1173,264,6167,1819,1107,379
70381,1173,7564,6168,1818,1110,379
70381,1173,672,6166,1819,1107,380
70381,1173,674,6166,1819,1108,380
70332,1172,265,6167,1819,1105,378
70332,1172,7562,6166,1819,1105,379
70332,1172,675,6167,1819,1105,379
70332,1172,676,6167,1819,1108,379
79477,1172,264,6167,1819,1105,379
79477,1172,7571,6167,1819,1108,379
79477,1172,672,6166,1819,1107,379
79477,1172,674,6167,1819,1108,379
70307,1172,264,6166,1819,1107,379
70307,1172,7570,6166,1819,1107,379
70307,1172,673,6167,1818,1105,380
70307,1172,676,6167,1819,1105,380
70280,1172,265,6167,1819,1105,379
70280,1172,7563,6166,1818,1105,379
70280,1172,675,6167,1819,1107,379
70280,1172,674,6167,1819,1106,379
70280,1172,264,6166,1819,1106,379
70280,1172,7569,6166,1818,1100,379
70280,1172,672,6167,1819,1104,379
70280,1172,2462,6167,1819,1108,380
77202,1172,265,6167,1819,1109,379
77202,1172,7571,6167,1819,1106,380
77202,1172,675,6167,1819,1105,380
77202,1172,675,6166,1819,1105,379
75848,1172,263,6166,1819,1106,379
75848,1172,7567,6166,1819,1106,380
75848,1172,674,6167,1819,1107,380
75848,1172,674,6167,1819,1106,380
70369,1172,265,6167,1819,1108,379
70369,1172,7566,6166,1819,1106,380
70369,1172,675,6167,1819,1107,379
70369,1172,673,6167,1819,1108,379
70357,1172,264,6167,1818,1106,379
70357,1172,7571,6166,1819,1102,379
70357,1172,2463,6167,1819,1106,379
70357,1172,676,6167,1818,1107,380
70319,1173,264,6167,1819,1109,379
70319,1173,7564,6166,1819,1106,379
70319,1173,674,6166,1819,1107,380
70319,1173,674,6166,1819,1107,379
70319,1172,264,6166,1819,1106,379
70319,1172,7566,6167,1819,1104,380
70319,1172,677,6167,1819,1108,379
70319,1172,672,6167,1819,1109,379
70331,1172,264,6167,1819,1109,379
70331,1172,7569,6167,1819,1104,378
70331,1172,676,6166,1819,1107,379
70331,1172,675,6166,1818,1107,379
70331,1172,264,6167,1819,1109,380
70331,1172,9355,6167,1819,1103,380
70331,1172,677,6167,1819,1108,379
70331,1172,672,6167,1819,1108,380
77215,1172,264,6167,1818,1107,379
77215,1172,7570,6167,1819,1106,380
77215,1172,675,6167,1819,1105,380
77215,1172,677,6166,1819,1106,380
70345,1172,264,6167,1819,1106,380
70345,1172,7566,6166,1818,1110,379
70345,1172,671,6167,1819,1109,379
70345,1172,672,6168,1818,1108,380
75974,1172,265,6166,1819,1107,379
75974,1172,7570,6166,1819,1108,380
75974,1172,673,6167,1819,1105,380
75974,1172,676,6166,1818,1107,379
79514,1172,264,6167,1819,1103,380
79514,1172,7571,6167,1819,1109,379
79514,1172,672,6167,1819,1105,378
79514,1172,667,6167,1819,1106,379
70332,1171,264,6167,1819,1104,378
70332,1171,7564,6166,1819,1106,380
70332,1171,675,6168,1818,1109,380
70332,1171,671,6166,1818,1105,380
70293,1171,264,6167,1819,1105,379
70293,1171,7566,6167,1819,1110,379
70293,1171,670,6166,1819,1106,380
70293,1171,675,6167,1819,1107,378
70369,1171,263,6167,1819,1106,380
70369,1171,7569,6167,1819,1101,380
70369,1171,671,6166,1818,1107,379
70369,1171,2459,6168,1818,1105,380
70280,1172,264,6166,1819,1106,379
70280,1172,7571,6166,1819,1108,379
70280,1172,673,6167,1819,1108,379
70280,1172,673,6167,1819,1108,380
77303,1172,265,6167,1819,1109,379
77303,1172,7565,6166,1819,1104,380
77303,1172,677,6167,1819,1107,379
77303,1172,674,6167,1819,1106,379
70769,1171,264,6167,1819,1108,379
70769,1171,7565,6167,1818,1106,380
70769,1171,675,6167,1819,1107,380
70769,1171,675,6166,1819,1107,378
75748,1172,264,6167,1819,1107,378
75748,1172,7570,6167,1819,1105,379
75748,1172,2460,6167,1819,1107,380
75748,1172,674,6166,1819,1107,379
70270,1172,263,6166,1818,1105,380
70270,1172,7564,6167,1819,1106,379
70270,1172,675,6167,1819,1107,379
70270,1172,674,6168,1818,1109,379
70219,1172,264,6167,1819,1105,379
70219,1172,7564,6166,1819,1107,379
70219,1172,673,6167,1818,1107,379
70219,1172,673,6167,1819,1108,380
70206,1172,265,6166,1818,1110,379
70206,1172,7563,6167,1819,1106,380
70206,1172,675,6166,1819,1106,379
70206,1172,675,6167,1819,1107,379
70182,1172,264,6167,1819,1103,380
70182,1172,9355,6166,1819,1107,380
70182,1172,674,6167,1819,1109,380
70182,1172,672,6167,1819,1110,380
70179,1172,264,6168,1818,1108,379
70179,1172,7566,6166,1819,1105,380
70179,1172,676,6167,1819,1107,378
70179,1172,673,6166,1819,1108,379
77130,1172,264,6167,1819,1109,379
77130,1172,7566,6167,1819,1112,379
77130,1172,670,6167,1818,1106,380
77130,1172,675,6167,1819,1106,379
70243,1171,264,6167,1819,1105,379
70243,1171,7565,6167,1819,1105,380
70243,1171,676,6166,1819,1105,379
