TempoLeituraSD,TempoNormalizacao,TempoJanela,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia,TempoTotalBatch
85467,1148,171,6191,1821,1108,380,39784
70406,1148,172,6192,1820,1109,379,39776
70281,1147,172,6192,1820,1108,379,39738
70382,1148,171,6187,1820,1107,379,39767
70344,1148,171,6191,1820,1104,379,39736
70305,1148,171,6191,1821,1106,380,39757
70317,1147,172,6191,1820,1108,380,39761
77240,1147,172,6192,1820,1107,379,39745
70355,1148,172,6169,1821,1107,379,39732
75648,1147,171,6191,1821,1108,379,39753
79812,1149,171,6191,1821,1107,379,39765
70420,1147,171,6191,1821,1108,379,39772
70343,1148,171,6191,1820,1109,380,39771
70280,1148,172,6191,1820,1108,380,39758
70317,1147,172,6192,1820,1108,379,39764
77227,1148,171,6190,1821,1106,380,39728
70343,1148,172,6191,1820,1108,379,39773
70409,1148,171,6175,1821,1108,380,39755
79675,1148,171,6189,1820,1106,379,39764
75873,1148,171,6191,1821,1106,380,39746
70393,1148,172,6190,1820,1107,379,39752
70442,1148,172,6191,1821,1105,379,39755
70293,1147,171,6191,1820,1108,380,39769
86559,1148,171,6191,1821,1106,379,39748
70368,1147,172,6182,1820,1108,378,39738
70382,1148,172,6191,1821,1108,379,39771
70446,1148,171,6191,1821,1108,379,39747
70407,1148,171,6191,1821,1108,380,39764
70343,1148,172,6192,1820,1108,380,39761
75808,1148,172,6191,1820,1110,380,39774
70354,1147,172,6192,1819,1108,379,39744
77214,1147,172,6192,1820,1107,379,39776
70317,1148,172,6191,1821,1106,379,39766
70383,1148,171,6191,1820,1106,379,39771
70907,1148,171,6188,1821,1105,380,39758
75760,1147,171,6172,1820,1108,380,39751
79788,1147,171,6191,1821,1107,379,39764
70331,1147,171,6186,1821,1106,379,39748
75833,1148,172,6191,1821,1107,379,39759
77291,1147,171,6187,1821,1109,379,39752
70405,1147,171,6192,1820,1109,380,39758
70381,1148,172,6182,1819,1106,379,39755
70419,1148,171,6191,1820,1109,379,39751
70370,1147,171,6186,1821,1107,379,39768
70356,1148,172,6191,1821,1109,379,39762
70305,1148,172,6191,1820,1108,381,39773
70316,1147,173,6192,1820,1109,379,39756
77239,1149,171,6169,1821,1107,379,39735
70356,1148,171,6167,1820,1107,379,39750
85217,1148,172,6169,1821,1106,379,39716
70432,1148,171,6177,1820,1109,379,39742
70382,1148,172,6191,1821,1107,380,39758
70355,1148,172,6172,1820,1107,380,39740
70354,1148,172,6180,1820,1106,379,39756
70306,1147,171,6191,1821,1106,379,39733
77229,1147,171,6167,1820,1107,379,39747
70394,1148,172,6191,1821,1106,380,39771
70394,1148,171,6191,1821,1109,380,39751
70369,1148,172,6170,1821,1108,379,39741
75923,1147,171,6191,1821,1110,380,39765
70442,1148,172,6191,1821,1108,379,39771
