TempoLeituraSD,TempoNormalizacao,TempoPreProcessamento,TempoFeatTempo,TempoFFT,TempoFeatFrequencia,TempoInferencia
70304,1172,670,6167,1819,1103,379
70304,1172,670,6167,1819,1103,380
70356,1172,264,6167,1819,1101,381
70356,1172,7569,6167,1819,1102,379
70356,1172,671,6166,1819,1105,380
70356,1172,675,6166,1819,1106,380
75733,1172,264,6167,1819,1105,380
75733,1172,7569,6167,1819,1104,380
75733,1172,669,6167,1819,1102,380
75733,1172,670,6167,1819,1103,380
70317,1172,264,6167,1819,1103,380
70317,1172,7571,6166,1819,1105,379
70317,1172,676,6168,1818,1104,380
70317,1172,669,6166,1819,1102,381
79436,1172,264,6166,1819,1104,380
79436,1172,7568,6166,1819,1102,380
79436,1172,670,6166,1818,1106,379
79436,1172,675,6166,1818,1104,379
70282,1172,264,6167,1819,1105,379
70282,1172,7570,6166,1818,1102,380
70282,1172,670,6167,1819,1103,380
70282,1172,669,6167,1819,1102,380
70292,1172,264,6166,1819,1102,379
70292,1172,7570,6166,1818,1103,381
70292,1172,677,6166,1818,1102,381
70292,1172,670,6167,1819,1104,381
77203,1172,264,6167,1818,1104,379
77203,1172,7567,6166,1819,1103,380
77203,1172,670,6167,1819,1105,379
77203,1172,2461,6167,1818,1103,380
70330,1173,264,6167,1819,1105,379
70330,1173,7566,6167,1819,1101,380
70330,1173,671,6167,1818,1102,380
70330,1173,671,6166,1819,1103,380
70357,1172,265,6167,1819,1103,380
70357,1172,7567,6167,1819,1103,381
70357,1172,669,6167,1819,1103,380
70357,1172,670,6167,1819,1103,380
70369,1172,264,6167,1818,1101,380
70369,1172,7565,6166,1819,1101,379
70369,1172,670,6167,1819,1102,380
70369,1172,672,6166,1819,1102,380
75697,1172,264,6167,1818,1101,379
75697,1172,7565,6166,1819,1102,380
75697,1172,2456,6167,1819,1105,378
75697,1172,675,6167,1818,1104,379
70319,1172,264,6166,1819,1103,379
70319,1172,7570,6167,1819,1101,379
70319,1172,670,6167,1819,1105,382
70319,1172,676,6167,1819,1106,380
70279,1172,265,6167,1819,1105,379
70279,1172,7564,6167,1819,1102,380
70279,1172,671,6166,1819,1103,380
70279,1172,669,6166,1818,1103,380
70281,1172,264,6166,1819,1101,380
70281,1172,7566,6167,1819,1104,379
70281,1172,676,6166,1818,1102,380
70281,1172,670,6167,1819,1104,380
77203,1172,263,6166,1819,1103,380
77203,1172,9352,6167,1819,1104,380
77203,1172,677,6166,1819,1103,379
77203,1172,668,6167,1819,1104,380
70356,1171,263,6166,1819,1104,380
70356,1171,7566,6167,1819,1104,379
70356,1171,669,6167,1819,1104,381
70356,1171,676,6167,1818,1108,381
70356,1172,264,6166,1819,1105,382
70356,1172,7573,6167,1819,1102,380
70356,1172,670,6167,1818,1104,379
70356,1172,669,6167,1819,1103,380
70369,1173,264,6167,1819,1105,379
70369,1173,7570,6167,1818,1106,380
70369,1173,675,6167,1819,1102,380
70369,1173,671,6167,1819,1102,379
85016,1171,264,6166,1818,1102,380
85016,1171,7571,6167,1819,1104,379
85016,1171,669,6167,1818,1103,381
85016,1171,670,6167,1819,1103,380
70369,1171,264,6166,1819,1103,380
70369,1171,7571,6167,1818,1105,380
70369,1171,676,6167,1819,1105,380
70369,1171,677,6167,1819,1105,380
70206,1172,264,6167,1819,1104,381
70206,1172,7570,6167,1819,1102,380
70206,1172,671,6167,1819,1102,380
70206,1172,670,6168,1818,1104,380
70267,1172,263,6166,1819,1105,380
70267,1172,7569,6166,1819,1101,380
70267,1172,670,6167,1819,1103,380
70267,1172,2454,6167,1819,1102,379
77165,1172,264,6166,1819,1102,380
77165,1172,7571,6166,1819,1103,379
77165,1172,669,6167,1819,1104,380
77165,1172,668,6167,1819,1103,380
70317,1172,264,6167,1819,1102,380
70317,1172,7572,6166,1819,1102,380
70317,1172,670,6167,1819,1105,381
70317,1172,676,6167,1819,1105,380
79651,1172,264,6167,1819,1103,379
79651,1172,7564,6166,1819,1102,380
79651,1172,670,6168,1818,1103,380
79651,1172,670,6167,1819,1105,380
70357,1172,265,6166,1819,1103,379
70357,1172,7566,6168,1818,1103,380
70357,1172,2455,6167,1819,1102,380
70357,1172,670,6167,1819,1104,379
75698,1172,265,6167,1819,1101,379
75698,1172,7565,6167,1819,1103,380
75698,1172,677,6167,1819,1104,379
75698,1172,676,6166,1819,1103,379
70407,1172,264,6166,1819,1101,380
70407,1172,7570,6167,1819,1105,379
70407,1172,676,6166,1819,1102,380
70407,1172,671,6167,1818,1103,380
70281,1172,264,6167,1819,1103,379
70281,1172,7564,6166,1818,1104,379
70281,1172,676,6167,1819,1102,380
70281,1172,670,6166,1819,1104,380
70266,1171,264,6166,1819,1104,379
70266,1171,9354,6166,1819,1100,380
70266,1171,671,6166,1819,1105,380
70266,1171,676,6167,1819,1104,380
77192,1172,264,6166,1819,1105,379
77192,1172,7567,6166,1819,1104,381
77192,1172,676,6168,1818,1104,380
77192,1172,668,6167,1819,1106,380
70305,1172,264,6167,1819,1103,378
70305,1172,7564,6167,1819,1101,380
70305,1172,672,6167,1819,1104,380
70305,1172,668,6166,1818,1104,380
70344,1172,264,6168,1818,1103,380
70344,1172,7571,6167,1819,1103,380
70344,1172,669,6166,1819,1103,380
70344,1172,670,6167,1819,1105,380
79589,1172,264,6167,1819,1104,380
79589,1172,7563,6167,1819,1102,381
79589,1172,672,6166,1819,1102,380
79589,1172,670,6167,1819,1104,380
70280,1171,264,6167,1819,1102,380
70280,1171,7565,6168,1818,1104,380
70280,1171,669,6167,1819,1104,381
70280,1171,677,6166,1819,1103,379
75936,1172,264,6167,1819,1102,380
75936,1172,7570,6166,1819,1105,380
75936,1172,676,6167,1818,1104,379
75936,1172,669,6166,1819,1103,381
70356,1173,264,6166,1819,1102,378
70356,1173,7568,6167,1819,1104,381
70356,1173,677,6167,1819,1105,380
70356,1173,2461,6166,1819,1105,379
70269,1172,264,6167,1819,1103,380
70269,1172,7567,6166,1819,1105,378
70269,1172,675,6167,1819,1102,379
70269,1172,671,6167,1819,1103,380
77241,1172,263,6166,1819,1102,379
77241,1172,7566,6167,1818,1106,382
77241,1172,675,6166,1819,1105,379
77241,1172,674,6166,1819,1104,380
70280,1172,265,6166,1819,1105,380
70280,1172,7571,6167,1819,1105,380
70280,1172,676,6166,1819,1102,380
70280,1172,670,6167,1819,1102,380
75799,1172,265,6166,1819,1101,380
75799,1172,7568,6167,1819,1101,380
75799,1172,2457,6167,1819,1103,380
75799,1172,669,6167,1819,1103,379
70346,1172,264,6167,1819,1104,380
70346,1172,7567,6166,1819,1102,379
70346,1172,669,6167,1819,1102,379
70346,1172,670,6168,1818,1105,380
70446,1172,264,6167,1819,1104,380
70446,1172,7564,6166,1819,1101,378
70446,1172,670,6167,1818,1106,380
70446,1172,675,6167,1819,1105,380
75934,1172,264,6167,1819,1106,380
75934,1172,7567,6167,1819,1101,380
75934,1172,671,6167,1819,1102,379
75934,1172,670,6167,1819,1103,380
79511,1172,264,6166,1819,1102,380
79511,1172,7565,6167,1819,1103,380
79511,1172,669,6167,1819,1101,380
79511,1172,671,6167,1819,1103,381
70167,1171,264,6167,1819,1101,380
70167,1171,7567,6166,1819,1103,380
70167,1171,669,6166,1819,1102,379
70167,1171,670,6166,1819,1103,379
77104,1172,264,6167,1819,1104,379
77104,1172,7570,6166,1818,1101,379
77104,1172,670,6167,1818,1103,380
77104,1172,669,6166,1819,1102,380
70218,1172,264,6166,1819,1101,379
70218,1172,7568,6167,1819,1105,380
70218,1172,676,6167,1819,1104,379
70218,1172,2455,6167,1819,1104,379
70357,1172,264,6167,1819,1104,379
70357,1172,7566,6166,1819,1104,379
70357,1172,676,6167,1819,1103,379
70357,1172,669,6167,1819,1101,381
70306,1172,265,6167,1819,1103,379
70306,1172,7565,6167,1818,1105,381
70306,1172,676,6167,1819,1102,381
70306,1172,670,6167,1819,1103,379
70320,1172,264,6168,1818,1103,379
70320,1172,7570,6167,1819,1102,380
70320,1172,669,6167,1819,1103,379
70320,1172,669,6166,1819,1103,380
70307,1172,264,6166,1819,1103,380
70307,1172,7564,6167,1819,1102,380
70307,1172,2456,6167,1819,1102,381
