RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
1828.362427,3344495.250000,0.197737,5.254955,4.389394,1.515319,6.651331,17.783398,514370.625000,480602.250000,450739.125000,398.437500,1898.437500,375.000000,4
1841.565674,3393016.000000,0.215186,5.114042,4.357924,1.511145,6.585457,17.672756,561156.187500,536211.062500,429660.062500,375.000000,398.437500,2250.000000,4
1852.144531,3431917.250000,0.197782,5.034788,4.333033,1.502656,6.511056,17.446245,532587.687500,464509.125000,402733.687500,398.437500,375.000000,1898.437500,3
1843.190918,3398503.750000,0.383385,6.078921,5.327057,1.539248,8.199660,20.881264,574707.562500,480889.468750,378199.531250,398.437500,421.875000,2250.000000,3
1842.617920,3396738.750000,0.102033,6.077542,5.328713,1.536695,8.188608,21.752577,636368.375000,547093.625000,370812.500000,398.437500,375.000000,1335.937500,3
1852.895630,3434901.750000,0.107141,5.984485,5.299156,1.535764,8.138255,21.648485,685622.562500,613190.687500,348222.843750,375.000000,398.437500,1335.937500,4
1868.720581,3493828.000000,0.112494,5.829534,5.254281,1.530092,8.039533,21.337503,624385.750000,586948.125000,395008.656250,398.437500,375.000000,609.375000,4
2084.611084,4347012.500000,-0.044686,6.926733,4.261545,1.571812,6.698348,23.002466,530083.625000,511355.906250,511264.906250,421.875000,1945.312500,1570.312500,4
2089.690430,4368900.000000,0.117669,7.056343,4.639053,1.564354,7.257120,23.608446,678858.562500,653345.125000,522730.625000,398.437500,375.000000,1453.125000,4
2071.140869,4291713.000000,0.131010,7.267582,4.680601,1.572346,7.359527,23.888489,756054.312500,730349.937500,425092.156250,375.000000,398.437500,2765.625000,4
2063.793945,4261090.000000,0.137019,7.349798,4.697264,1.576747,7.406394,24.136427,773626.312500,608287.312500,453615.750000,398.437500,375.000000,1453.125000,3
1983.688843,3935397.000000,0.031480,6.519413,4.921100,1.557882,7.666495,21.388973,582094.187500,517222.000000,505937.937500,398.437500,421.875000,2742.187500,4
2178.163330,4746627.500000,-0.045009,6.558597,4.620220,1.565030,7.230782,22.126978,817319.187500,636939.125000,465845.375000,398.437500,375.000000,421.875000,3
2179.374023,4751981.500000,-0.062509,6.546075,4.617653,1.560782,7.207150,22.020353,893346.875000,742603.312500,416498.812500,398.437500,375.000000,3609.375000,4
2175.609619,4735361.000000,-0.067602,6.582757,4.625643,1.560835,7.219866,22.048479,794864.687500,671644.625000,475141.875000,398.437500,375.000000,421.875000,4
2181.567383,4759946.500000,0.009087,6.391186,4.613010,1.548013,7.140998,21.700108,551177.125000,433796.500000,427781.625000,421.875000,351.562500,3585.937500,3
2141.435303,4587957.500000,0.019747,5.998903,4.481098,1.556493,6.974797,20.788074,557990.875000,501887.781250,454485.781250,398.437500,937.500000,914.062500,4
2148.324463,4617553.000000,0.019654,5.947791,4.466728,1.553750,6.940178,20.690155,634180.875000,573226.750000,519099.843750,398.437500,914.062500,375.000000,4
2146.779785,4610695.000000,0.024215,5.969290,4.469942,1.560145,6.973759,20.836029,589351.312500,571340.625000,550774.812500,398.437500,914.062500,984.375000,3
2208.706787,4880415.000000,0.098599,5.982516,4.344615,1.577762,6.854770,19.324018,530665.312500,513883.031250,468221.406250,1476.562500,1007.812500,421.875000,3
2248.153076,5056591.000000,0.047518,6.581448,4.303765,1.575005,6.778450,22.632345,795996.750000,605570.937500,590521.187500,398.437500,2343.750000,375.000000,3
2241.906494,5028584.500000,0.060675,6.638497,4.315756,1.586076,6.845119,23.086193,831176.687500,687857.000000,569110.687500,398.437500,375.000000,2320.312500,4
2238.373535,5012639.000000,0.049310,6.664821,4.322568,1.575693,6.811039,22.694412,801544.062500,577210.375000,562167.562500,398.437500,375.000000,2320.312500,4
2274.137939,5174230.000000,-0.117420,6.483486,4.254589,1.557068,6.624686,21.910280,576359.312500,554170.437500,552098.687500,656.250000,1359.375000,421.875000,4
2157.395264,4656624.000000,-0.118082,5.887098,4.196034,1.546947,6.491042,20.564650,711160.000000,604752.750000,588456.750000,398.437500,375.000000,1359.375000,4
2151.870850,4632803.000000,-0.125970,5.932405,4.206807,1.543300,6.492364,20.416023,742042.500000,677695.812500,556716.562500,398.437500,375.000000,1359.375000,4
2144.126709,4599358.500000,-0.106599,6.010897,4.222001,1.563228,6.599948,21.119816,745535.750000,579011.687500,571998.562500,398.437500,375.000000,1359.375000,3
1923.968506,3703262.000000,0.192319,5.597705,4.155239,1.547537,6.430384,19.968372,521059.906250,474591.468750,419165.062500,421.875000,398.437500,351.562500,3
1811.116821,3281739.000000,0.232033,5.358113,4.579819,1.523628,6.977943,18.492012,657843.687500,484209.093750,394843.468750,398.437500,375.000000,2320.312500,3
1815.308472,3296949.000000,0.235036,5.319501,4.569244,1.521214,6.950799,18.413122,683316.375000,530554.437500,461912.531250,398.437500,375.000000,2320.312500,4
1811.505127,3283020.750000,0.212096,5.347606,4.578838,1.519076,6.955602,18.329468,642722.687500,481225.468750,403123.218750,398.437500,375.000000,2320.312500,3
1781.299683,3174131.500000,0.029534,5.673103,4.656481,1.531957,7.133529,19.254215,444367.343750,401165.968750,365434.062500,421.875000,1640.625000,1617.187500,3
1731.052368,2997786.000000,0.008918,5.443476,4.056899,1.525344,6.188166,18.485489,461266.906250,443490.250000,426409.250000,398.437500,375.000000,1101.562500,4
1724.088135,2973928.750000,-0.023172,5.515247,4.073287,1.541076,6.277242,19.035307,533899.000000,479556.500000,408566.968750,398.437500,375.000000,1101.562500,4
1761.369751,3103903.000000,-0.008613,5.247536,3.987070,1.529763,6.099274,18.540968,516788.750000,403385.468750,370829.437500,398.437500,375.000000,1078.125000,4
1776.643066,3157044.000000,0.135392,5.079124,4.009113,1.517980,6.085755,18.269020,396317.562500,380171.312500,358115.687500,2507.812500,2484.375000,492.187500,3
1882.013794,3543391.250000,0.059166,4.911471,4.080736,1.532991,6.255731,17.325148,607932.937500,525238.937500,487051.281250,398.437500,375.000000,1617.187500,4
1883.407471,3548955.250000,0.091805,4.905283,4.077717,1.528680,6.233524,17.127140,671606.562500,611221.500000,433421.937500,398.437500,375.000000,1617.187500,4
1867.795532,3490198.000000,0.093157,4.966234,4.111800,1.522853,6.261668,17.056305,635175.062500,580654.062500,421759.000000,398.437500,375.000000,1617.187500,4
1856.980103,3449050.000000,-0.184259,5.368058,4.135748,1.530572,6.330061,19.438547,563870.437500,562963.687500,426725.062500,398.437500,421.875000,1031.250000,4
1911.268677,3654732.250000,-0.114723,6.071787,4.993491,1.556894,7.774338,21.495375,510552.156250,458869.531250,433546.718750,398.437500,2296.875000,375.000000,3
1912.450562,3659258.000000,-0.126300,6.060075,4.990405,1.557187,7.770994,21.512049,548500.937500,548404.500000,521052.656250,398.437500,375.000000,2296.875000,4
1891.984131,3581301.750000,-0.133835,6.288936,5.044388,1.577933,7.959704,22.236364,543697.562500,492534.718750,437945.968750,398.437500,375.000000,1453.125000,4
1933.809082,3741441.250000,0.159005,6.485957,5.744452,1.578120,9.065436,22.776558,585013.187500,558772.500000,541346.875000,421.875000,2296.875000,2273.437500,3
1979.546997,3920366.250000,0.058671,7.192783,5.611726,1.601802,8.988872,24.936449,725884.937500,657545.875000,590368.437500,398.437500,375.000000,2015.625000,4
1976.606567,3908880.250000,0.044789,7.222604,5.620074,1.597232,8.976563,24.768675,765840.750000,722257.187500,587874.062500,398.437500,375.000000,2015.625000,4
1998.671509,3996642.000000,0.051307,6.959556,5.558029,1.580315,8.783438,24.126682,771969.375000,622799.187500,532104.312500,398.437500,375.000000,2039.062500,3
2117.117676,4484283.000000,0.065854,6.264537,4.462856,1.577171,7.038687,21.065733,505382.500000,494233.562500,446724.906250,398.437500,2414.062500,421.875000,4
2028.827271,4118023.500000,0.314209,5.572639,4.657071,1.533807,7.143045,19.080963,635181.312500,600957.937500,417370.968750,398.437500,375.000000,867.187500,4
2033.739136,4138107.500000,0.324735,5.527064,4.645823,1.519699,7.060252,18.650139,711659.250000,668639.187500,460017.125000,398.437500,375.000000,867.187500,4
2047.136353,4192522.750000,0.320088,5.418257,4.615419,1.512038,6.978686,18.392506,713725.937500,554825.875000,466302.125000,398.437500,375.000000,843.750000,3
2123.299561,4510594.000000,-0.235258,7.551951,4.524613,1.535448,6.947310,24.671715,612945.250000,607905.312500,466812.656250,421.875000,398.437500,820.312500,4
2244.354736,5039239.000000,-0.281356,7.209868,4.280566,1.557728,6.667958,23.961464,675758.750000,619840.125000,542904.437500,398.437500,1804.687500,375.000000,4
2253.637939,5081364.000000,-0.289678,7.117640,4.262933,1.561796,6.657832,24.176136,740900.250000,648282.250000,610008.187500,398.437500,375.000000,1804.687500,4
2236.242920,5003096.000000,-0.300444,7.323146,4.296093,1.574187,6.762856,24.562029,661596.375000,580566.875000,577642.562500,398.437500,375.000000,1804.687500,4
2139.221924,4578402.500000,0.080382,5.865190,4.316970,1.560837,6.738085,19.877859,599879.250000,544486.750000,542148.937500,421.875000,1757.812500,398.437500,3
2088.380371,4363467.500000,-0.058513,5.640443,4.422067,1.537075,6.797049,20.209677,695574.187500,446494.281250,435224.750000,398.437500,773.437500,375.000000,4
2084.606934,4347703.500000,-0.065044,5.676600,4.430071,1.531219,6.783407,19.942253,724461.562500,521096.281250,410106.093750,398.437500,375.000000,773.437500,4
2088.274170,4362885.500000,-0.061832,5.641154,4.422291,1.531828,6.774191,20.028952,630805.437500,460785.062500,441586.437500,398.437500,375.000000,1734.375000,3
2229.303955,4972129.500000,-0.088775,5.110184,3.909283,1.527632,5.971944,18.345564,691737.437500,601052.250000,592016.562500,421.875000,796.875000,820.312500,4
2191.167725,4803489.500000,-0.043731,5.332297,4.125578,1.533420,6.326244,19.593313,863956.562500,601868.750000,559657.500000,398.437500,421.875000,375.000000,3
2203.735352,4858812.500000,-0.031211,5.232142,4.102051,1.527658,6.266531,19.464287,900806.937500,615188.437500,552395.125000,398.437500,375.000000,1078.125000,4
2231.597168,4982358.500000,-0.015439,5.053862,4.050836,1.511272,6.121914,18.850052,820455.250000,633205.875000,570349.125000,398.437500,421.875000,1476.562500,4
1981.353027,3927675.500000,-0.096378,5.579176,4.562455,1.510811,6.893008,20.947359,530899.625000,447981.906250,444362.156250,1945.312500,1125.000000,421.875000,3
2038.624146,4157922.250000,0.069181,5.178246,4.295600,1.509331,6.483484,18.997969,536969.812500,475010.687500,449249.593750,398.437500,1945.312500,1125.000000,4
2014.713623,4061054.000000,0.052998,5.378525,4.346580,1.533867,6.667078,19.861967,577834.875000,491514.781250,476132.843750,398.437500,375.000000,1945.312500,4
1992.943481,3973673.250000,0.017280,5.526423,4.394061,1.541026,6.771363,20.224157,530847.812500,449659.062500,412392.687500,398.437500,1945.312500,1429.687500,4
2031.555054,4129230.000000,0.055855,5.292736,4.310547,1.529073,6.591144,20.253630,646693.625000,598079.625000,482955.125000,421.875000,398.437500,1101.562500,4
1941.478271,3771168.500000,-0.157033,5.382487,4.109562,1.522980,6.258780,20.079895,790201.437500,626607.625000,384690.343750,398.437500,375.000000,3375.000000,3
1953.887451,3819537.500000,-0.143817,5.255290,4.083462,1.501592,6.131693,19.380840,820955.187500,657498.187500,412389.000000,398.437500,375.000000,3375.000000,4
1929.631714,3725149.500000,-0.136886,5.448370,4.134792,1.516431,6.270125,19.875490,743709.562500,544196.000000,420210.031250,398.437500,375.000000,421.875000,3
1927.235962,3715988.000000,-0.229154,5.656178,3.961227,1.528179,6.053466,18.811981,501720.781250,488181.718750,466567.968750,398.437500,421.875000,1945.312500,3
2016.612915,4068443.500000,-0.027185,6.188758,4.443239,1.564761,6.952607,20.175812,685685.875000,598293.750000,519857.593750,398.437500,1945.312500,375.000000,3
2008.929932,4037777.500000,-0.000412,6.293979,4.460232,1.582850,7.059879,20.622704,740897.000000,590089.750000,569997.000000,398.437500,1945.312500,375.000000,4
2008.141357,4034585.000000,-0.007391,6.298277,4.461983,1.582227,7.059870,20.629519,719961.937500,544651.750000,536450.875000,398.437500,1945.312500,2343.750000,3
1943.425049,3778541.250000,-0.019300,6.099823,4.610568,1.574282,7.258336,20.698931,511062.468750,499852.718750,459013.187500,398.437500,421.875000,2226.562500,3
1883.241943,3548320.750000,-0.229491,6.016762,4.320212,1.552893,6.708828,22.153952,653687.875000,509896.343750,488539.468750,398.437500,2085.937500,375.000000,4
1887.471680,3564289.250000,-0.279057,6.014311,4.310531,1.555803,6.706337,22.262218,695466.937500,589360.562500,498478.875000,398.437500,375.000000,2085.937500,4
