RMS,Variance,Skewness,Kurtosis,CrestFactor,ShapeFactor,ImpulseFactor,MarginFactor,Peak1,Peak2,Peak3,PeakLocs1,PeakLocs2,PeakLocs3,FAULT_ID
3146.982666,9899613.000000,-0.008695,4.656011,4.099027,1.477214,6.055137,16.856380,2017298.125000,1963576.000000,1380843.000000,398.437500,421.875000,351.562500,3
3043.613525,9265766.000000,-0.035691,4.443848,3.580188,1.461334,5.231851,15.372092,2474531.250000,2019166.125000,1186882.000000,398.437500,375.000000,421.875000,4
3036.529053,9224978.000000,-0.071660,4.481197,3.588541,1.464035,5.253749,15.435555,2644518.500000,2284974.750000,755954.750000,398.437500,375.000000,421.875000,4
3036.485352,9223862.000000,-0.088861,4.480346,3.588592,1.458263,5.233112,15.315218,2517718.750000,1945463.625000,1183462.750000,398.437500,375.000000,421.875000,4
3078.225098,9473277.000000,0.109155,4.832108,4.308874,1.483383,6.391712,16.950647,2122380.250000,1990995.625000,1056510.625000,398.437500,421.875000,351.562500,3
3088.324219,9542260.000000,0.057228,5.143910,4.294784,1.491315,6.404877,18.678776,2631667.000000,1767972.125000,1365525.750000,398.437500,375.000000,421.875000,3
3101.941406,9626739.000000,0.068348,5.069475,4.275930,1.485631,6.352455,18.524260,2714300.750000,2109654.750000,933435.500000,398.437500,375.000000,421.875000,4
3103.431152,9634400.000000,0.095933,5.066497,4.273878,1.485881,6.350472,18.562891,2585378.250000,1855520.875000,1337503.500000,398.437500,375.000000,421.875000,4
3145.712646,9900218.000000,-0.007409,4.524620,3.381253,1.461029,4.940110,16.160999,2163247.000000,2078887.000000,1343361.750000,398.437500,421.875000,351.562500,4
3190.637695,10184160.000000,0.090641,4.216877,3.561982,1.456122,5.186680,14.440188,2738389.500000,2115385.250000,1207632.625000,398.437500,375.000000,421.875000,4
3190.005127,10181084.000000,0.112257,4.219555,3.562688,1.453161,5.177158,14.356463,2844451.750000,2423287.750000,779601.812500,398.437500,375.000000,421.875000,4
3191.228516,10188853.000000,0.106451,4.215379,3.561322,1.453398,5.176018,14.343581,2780319.000000,2066817.250000,1234654.625000,398.437500,375.000000,421.875000,3
3215.655273,10337236.000000,-0.067786,4.484493,3.678516,1.471474,5.412840,16.165554,2344296.250000,1995772.000000,1258927.750000,398.437500,421.875000,351.562500,3
3171.648438,10060277.000000,-0.087735,4.503515,3.874902,1.465101,5.677122,16.581604,2672315.750000,2078210.750000,1132935.000000,398.437500,375.000000,421.875000,3
3179.678467,10115326.000000,-0.124732,4.485358,3.865116,1.470988,5.685538,16.748877,2783335.250000,2400347.750000,714889.437500,398.437500,375.000000,421.875000,4
3173.070557,10071797.000000,-0.151287,4.529586,3.873165,1.479046,5.728590,16.942793,2608837.000000,2095785.625000,1163486.250000,398.437500,375.000000,421.875000,3
2989.340576,8928473.000000,0.152508,4.133895,4.111217,1.459438,6.000066,16.302946,2137450.000000,1940796.250000,1268905.875000,398.437500,421.875000,351.562500,3
3037.766846,9231846.000000,0.068616,4.084268,3.372347,1.455317,4.907835,14.302534,2548239.000000,1851942.125000,1071200.500000,398.437500,375.000000,421.875000,3
3032.852539,9202698.000000,0.076626,4.099706,3.377811,1.451874,4.904156,14.211777,2660686.000000,2178311.000000,613380.312500,398.437500,375.000000,421.875000,4
3034.020264,9207489.000000,0.107526,4.100093,3.376511,1.452308,4.903734,14.231610,2508334.250000,1959597.250000,945728.562500,398.437500,375.000000,421.875000,4
3121.809326,9749698.000000,-0.091476,4.073044,3.199159,1.448348,4.633495,14.604915,2200917.000000,1943544.750000,1206471.750000,398.437500,421.875000,351.562500,4
3060.906250,9373244.000000,0.031818,4.057728,3.706684,1.449061,5.371210,15.788363,2666875.000000,1932993.875000,1313062.750000,398.437500,375.000000,421.875000,4
3040.096924,9246711.000000,0.055416,4.145447,3.732056,1.460758,5.451630,16.148224,2736229.500000,2203748.750000,922939.187500,398.437500,375.000000,421.875000,4
3039.108643,9240498.000000,0.045801,4.150254,3.733269,1.456866,5.438874,16.050955,2635906.250000,1915045.750000,1303261.125000,398.437500,375.000000,421.875000,3
